topic: BenchmarkTest, threadCount: 8, messageSize: 131072, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 03:51:02,928 | Send TPS: 864 | Max RT(ms): 600 | Average RT(ms):   9.334 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:51:12,927 | Send TPS: 269 | Max RT(ms): 600 | Average RT(ms):  29.718 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:51:23,529 | Send TPS: 1113 | Max RT(ms): 2380 | Average RT(ms):   6.578 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:51:32,928 | Send TPS: 815 | Max RT(ms): 2380 | Average RT(ms):   9.165 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:51:42,927 | Send TPS: 1233 | Max RT(ms): 2380 | Average RT(ms):   6.478 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:51:52,927 | Send TPS: 1548 | Max RT(ms): 2380 | Average RT(ms):   5.161 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:52:02,927 | Send TPS: 1344 | Max RT(ms): 2380 | Average RT(ms):   5.928 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:52:12,927 | Send TPS: 1201 | Max RT(ms): 2380 | Average RT(ms):   6.644 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:52:22,927 | Send TPS: 1400 | Max RT(ms): 2380 | Average RT(ms):   5.699 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:52:32,927 | Send TPS: 805 | Max RT(ms): 2380 | Average RT(ms):   9.907 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:52:42,927 | Send TPS: 1470 | Max RT(ms): 2380 | Average RT(ms):   5.428 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:52:52,927 | Send TPS: 1342 | Max RT(ms): 2380 | Average RT(ms):   5.942 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:53:02,927 | Send TPS: 1162 | Max RT(ms): 2380 | Average RT(ms):   6.842 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:53:12,927 | Send TPS: 1403 | Max RT(ms): 2380 | Average RT(ms):   5.682 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:53:22,927 | Send TPS: 1021 | Max RT(ms): 2380 | Average RT(ms):   7.810 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:53:32,927 | Send TPS: 1417 | Max RT(ms): 2380 | Average RT(ms):   5.633 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:53:42,927 | Send TPS: 1375 | Max RT(ms): 2380 | Average RT(ms):   5.805 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:53:52,928 | Send TPS: 1318 | Max RT(ms): 2380 | Average RT(ms):   6.046 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:54:02,927 | Send TPS: 1428 | Max RT(ms): 2380 | Average RT(ms):   5.584 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:54:12,927 | Send TPS: 1111 | Max RT(ms): 2380 | Average RT(ms):   7.164 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:54:22,927 | Send TPS: 842 | Max RT(ms): 2380 | Average RT(ms):   9.540 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:54:32,927 | Send TPS: 1393 | Max RT(ms): 2380 | Average RT(ms):   5.723 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:54:42,927 | Send TPS: 1399 | Max RT(ms): 2380 | Average RT(ms):   5.699 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:54:52,927 | Send TPS: 1399 | Max RT(ms): 2380 | Average RT(ms):   5.700 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:55:02,927 | Send TPS: 1395 | Max RT(ms): 2380 | Average RT(ms):   5.717 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:55:12,927 | Send TPS: 1409 | Max RT(ms): 2380 | Average RT(ms):   5.662 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:55:22,927 | Send TPS: 1379 | Max RT(ms): 2380 | Average RT(ms):   5.787 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:55:32,927 | Send TPS: 1351 | Max RT(ms): 2380 | Average RT(ms):   5.902 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 03:55:42,929 | Send TPS: 1451 | Max RT(ms): 2380 | Average RT(ms):   5.499 | Send Failed: 1 | Response Failed: 0
