topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 02:43:12,853 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:43:22,853 | Consume TPS: 415 | AVG(B2C) RT(ms):  22.009 | AVG(S2C) RT(ms):  14.556 | MAX(B2C) RT(ms): 254 | MAX(S2C) RT(ms): 189 | Consume Fail: 0
Current Time: 2026-08-29 02:43:32,853 | Consume TPS: 1243 | AVG(B2C) RT(ms):  10.707 | AVG(S2C) RT(ms):   7.678 | MAX(B2C) RT(ms): 2229 | MAX(S2C) RT(ms): 2224 | Consume Fail: 0
Current Time: 2026-08-29 02:43:42,853 | Consume TPS: 3146 | AVG(B2C) RT(ms):   3.823 | AVG(S2C) RT(ms):   2.612 | MAX(B2C) RT(ms): 528 | MAX(S2C) RT(ms): 526 | Consume Fail: 0
Current Time: 2026-08-29 02:43:52,853 | Consume TPS: 3209 | AVG(B2C) RT(ms):   3.941 | AVG(S2C) RT(ms):   2.741 | MAX(B2C) RT(ms): 894 | MAX(S2C) RT(ms): 893 | Consume Fail: 0
Current Time: 2026-08-29 02:44:02,853 | Consume TPS: 1433 | AVG(B2C) RT(ms):   3.496 | AVG(S2C) RT(ms):   2.373 | MAX(B2C) RT(ms): 66 | MAX(S2C) RT(ms): 65 | Consume Fail: 0
Current Time: 2026-08-29 02:44:12,853 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:44:22,853 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:44:32,854 | Consume TPS: 1739 | AVG(B2C) RT(ms):   5.503 | AVG(S2C) RT(ms):   3.523 | MAX(B2C) RT(ms): 71 | MAX(S2C) RT(ms): 65 | Consume Fail: 0
Current Time: 2026-08-29 02:44:42,853 | Consume TPS: 3437 | AVG(B2C) RT(ms):   3.436 | AVG(S2C) RT(ms):   2.307 | MAX(B2C) RT(ms): 30 | MAX(S2C) RT(ms): 29 | Consume Fail: 0
Current Time: 2026-08-29 02:44:52,853 | Consume TPS: 3501 | AVG(B2C) RT(ms):   3.461 | AVG(S2C) RT(ms):   2.360 | MAX(B2C) RT(ms): 27 | MAX(S2C) RT(ms): 22 | Consume Fail: 0
