topic: BenchmarkTest, threadCount: 8, messageSize: 16384, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 02:44:32,959 | Send TPS: 1782 | Max RT(ms): 574 | Average RT(ms):   4.528 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:44:42,957 | Send TPS: 3430 | Max RT(ms): 574 | Average RT(ms):   2.326 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:44:52,957 | Send TPS: 3499 | Max RT(ms): 574 | Average RT(ms):   2.281 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:45:02,958 | Send TPS: 3548 | Max RT(ms): 574 | Average RT(ms):   2.251 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:45:12,957 | Send TPS: 3192 | Max RT(ms): 574 | Average RT(ms):   2.502 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:45:23,190 | Send TPS: 662 | Max RT(ms): 574 | Average RT(ms):  11.729 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:45:32,957 | Send TPS: 1683 | Max RT(ms): 1708 | Average RT(ms):   4.735 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:45:42,957 | Send TPS: 3193 | Max RT(ms): 1708 | Average RT(ms):   2.497 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:45:52,957 | Send TPS: 3457 | Max RT(ms): 1708 | Average RT(ms):   2.307 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:46:02,957 | Send TPS: 3669 | Max RT(ms): 1708 | Average RT(ms):   2.177 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:46:12,957 | Send TPS: 2619 | Max RT(ms): 1708 | Average RT(ms):   3.050 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:46:22,957 | Send TPS: 3688 | Max RT(ms): 1708 | Average RT(ms):   2.167 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:46:32,957 | Send TPS: 3444 | Max RT(ms): 1708 | Average RT(ms):   2.320 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:46:42,957 | Send TPS: 3645 | Max RT(ms): 1708 | Average RT(ms):   2.193 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:46:52,957 | Send TPS: 3633 | Max RT(ms): 1708 | Average RT(ms):   2.200 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:47:02,957 | Send TPS: 3712 | Max RT(ms): 1708 | Average RT(ms):   2.153 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:47:12,957 | Send TPS: 3685 | Max RT(ms): 1708 | Average RT(ms):   2.169 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:47:22,957 | Send TPS: 3365 | Max RT(ms): 1708 | Average RT(ms):   2.375 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:47:32,957 | Send TPS: 3706 | Max RT(ms): 1708 | Average RT(ms):   2.157 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:47:42,957 | Send TPS: 3713 | Max RT(ms): 1708 | Average RT(ms):   2.152 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:47:52,957 | Send TPS: 3685 | Max RT(ms): 1708 | Average RT(ms):   2.168 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:48:02,957 | Send TPS: 3643 | Max RT(ms): 1708 | Average RT(ms):   2.194 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:48:12,957 | Send TPS: 3569 | Max RT(ms): 1708 | Average RT(ms):   2.240 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:48:22,957 | Send TPS: 3631 | Max RT(ms): 1708 | Average RT(ms):   2.200 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:48:32,957 | Send TPS: 3709 | Max RT(ms): 1708 | Average RT(ms):   2.155 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:48:42,957 | Send TPS: 3675 | Max RT(ms): 1708 | Average RT(ms):   2.175 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:48:52,957 | Send TPS: 3698 | Max RT(ms): 1708 | Average RT(ms):   2.162 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:49:02,957 | Send TPS: 3690 | Max RT(ms): 1708 | Average RT(ms):   2.166 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:49:12,957 | Send TPS: 3647 | Max RT(ms): 1708 | Average RT(ms):   2.192 | Send Failed: 0 | Response Failed: 0
