topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-24 04:54:00,712 | Consume TPS: 6006 | AVG(B2C) RT(ms):   2.248 | AVG(S2C) RT(ms):   1.603 | MAX(B2C) RT(ms): 64 | MAX(S2C) RT(ms): 63 | Consume Fail: 0
Current Time: 2026-08-24 04:54:10,712 | Consume TPS: 6109 | AVG(B2C) RT(ms):   2.333 | AVG(S2C) RT(ms):   1.709 | MAX(B2C) RT(ms): 89 | MAX(S2C) RT(ms): 88 | Consume Fail: 0
Current Time: 2026-08-24 04:54:20,712 | Consume TPS: 6094 | AVG(B2C) RT(ms):   2.277 | AVG(S2C) RT(ms):   1.641 | MAX(B2C) RT(ms): 67 | MAX(S2C) RT(ms): 67 | Consume Fail: 0
Current Time: 2026-08-24 04:54:30,712 | Consume TPS: 6027 | AVG(B2C) RT(ms):   2.398 | AVG(S2C) RT(ms):   1.754 | MAX(B2C) RT(ms): 292 | MAX(S2C) RT(ms): 292 | Consume Fail: 0
Current Time: 2026-08-24 04:54:40,712 | Consume TPS: 6142 | AVG(B2C) RT(ms):   2.302 | AVG(S2C) RT(ms):   1.676 | MAX(B2C) RT(ms): 262 | MAX(S2C) RT(ms): 261 | Consume Fail: 0
Current Time: 2026-08-24 04:54:50,712 | Consume TPS: 6141 | AVG(B2C) RT(ms):   2.167 | AVG(S2C) RT(ms):   1.546 | MAX(B2C) RT(ms): 300 | MAX(S2C) RT(ms): 299 | Consume Fail: 0
Current Time: 2026-08-24 04:55:00,712 | Consume TPS: 5991 | AVG(B2C) RT(ms):   2.353 | AVG(S2C) RT(ms):   1.710 | MAX(B2C) RT(ms): 279 | MAX(S2C) RT(ms): 278 | Consume Fail: 0
Current Time: 2026-08-24 04:55:10,712 | Consume TPS: 6104 | AVG(B2C) RT(ms):   2.316 | AVG(S2C) RT(ms):   1.682 | MAX(B2C) RT(ms): 342 | MAX(S2C) RT(ms): 342 | Consume Fail: 0
Current Time: 2026-08-24 04:55:20,712 | Consume TPS: 6058 | AVG(B2C) RT(ms):   2.340 | AVG(S2C) RT(ms):   1.709 | MAX(B2C) RT(ms): 302 | MAX(S2C) RT(ms): 301 | Consume Fail: 0
Current Time: 2026-08-24 04:55:30,712 | Consume TPS: 5959 | AVG(B2C) RT(ms):   2.240 | AVG(S2C) RT(ms):   1.583 | MAX(B2C) RT(ms): 80 | MAX(S2C) RT(ms): 79 | Consume Fail: 0
Current Time: 2026-08-24 04:55:40,712 | Consume TPS: 5988 | AVG(B2C) RT(ms):   2.211 | AVG(S2C) RT(ms):   1.571 | MAX(B2C) RT(ms): 27 | MAX(S2C) RT(ms): 26 | Consume Fail: 0
Current Time: 2026-08-24 04:55:50,712 | Consume TPS: 6129 | AVG(B2C) RT(ms):   2.140 | AVG(S2C) RT(ms):   1.520 | MAX(B2C) RT(ms): 11 | MAX(S2C) RT(ms): 10 | Consume Fail: 0
Current Time: 2026-08-24 04:56:00,712 | Consume TPS: 6043 | AVG(B2C) RT(ms):   4.547 | AVG(S2C) RT(ms):   3.906 | MAX(B2C) RT(ms): 153 | MAX(S2C) RT(ms): 152 | Consume Fail: 0
Current Time: 2026-08-24 04:56:10,712 | Consume TPS: 5990 | AVG(B2C) RT(ms):   2.671 | AVG(S2C) RT(ms):   2.025 | MAX(B2C) RT(ms): 52 | MAX(S2C) RT(ms): 51 | Consume Fail: 0
Current Time: 2026-08-24 04:56:20,712 | Consume TPS: 6052 | AVG(B2C) RT(ms):   2.175 | AVG(S2C) RT(ms):   1.534 | MAX(B2C) RT(ms): 33 | MAX(S2C) RT(ms): 32 | Consume Fail: 0
Current Time: 2026-08-24 04:56:30,712 | Consume TPS: 5989 | AVG(B2C) RT(ms):   2.308 | AVG(S2C) RT(ms):   1.653 | MAX(B2C) RT(ms): 160 | MAX(S2C) RT(ms): 159 | Consume Fail: 0
Current Time: 2026-08-24 04:56:40,712 | Consume TPS: 6102 | AVG(B2C) RT(ms):   2.239 | AVG(S2C) RT(ms):   1.608 | MAX(B2C) RT(ms): 130 | MAX(S2C) RT(ms): 129 | Consume Fail: 0
Current Time: 2026-08-24 04:56:50,712 | Consume TPS: 6129 | AVG(B2C) RT(ms):   2.160 | AVG(S2C) RT(ms):   1.530 | MAX(B2C) RT(ms): 14 | MAX(S2C) RT(ms): 13 | Consume Fail: 0
Current Time: 2026-08-24 04:57:00,712 | Consume TPS: 6109 | AVG(B2C) RT(ms):   2.323 | AVG(S2C) RT(ms):   1.697 | MAX(B2C) RT(ms): 34 | MAX(S2C) RT(ms): 33 | Consume Fail: 0
Current Time: 2026-08-24 04:57:10,712 | Consume TPS: 6120 | AVG(B2C) RT(ms):   2.275 | AVG(S2C) RT(ms):   1.649 | MAX(B2C) RT(ms): 40 | MAX(S2C) RT(ms): 39 | Consume Fail: 0
Current Time: 2026-08-24 04:57:20,712 | Consume TPS: 6040 | AVG(B2C) RT(ms):   2.197 | AVG(S2C) RT(ms):   1.557 | MAX(B2C) RT(ms): 164 | MAX(S2C) RT(ms): 164 | Consume Fail: 0
Current Time: 2026-08-24 04:57:30,712 | Consume TPS: 6080 | AVG(B2C) RT(ms):   2.584 | AVG(S2C) RT(ms):   1.952 | MAX(B2C) RT(ms): 322 | MAX(S2C) RT(ms): 321 | Consume Fail: 0
Current Time: 2026-08-24 04:57:40,712 | Consume TPS: 5774 | AVG(B2C) RT(ms):   3.352 | AVG(S2C) RT(ms):   2.675 | MAX(B2C) RT(ms): 185 | MAX(S2C) RT(ms): 184 | Consume Fail: 0
Current Time: 2026-08-24 04:57:50,712 | Consume TPS: 5855 | AVG(B2C) RT(ms):   2.386 | AVG(S2C) RT(ms):   1.734 | MAX(B2C) RT(ms): 354 | MAX(S2C) RT(ms): 353 | Consume Fail: 0
Current Time: 2026-08-24 04:58:00,712 | Consume TPS: 5998 | AVG(B2C) RT(ms):   2.536 | AVG(S2C) RT(ms):   1.892 | MAX(B2C) RT(ms): 284 | MAX(S2C) RT(ms): 283 | Consume Fail: 0
Current Time: 2026-08-24 04:58:10,712 | Consume TPS: 6017 | AVG(B2C) RT(ms):   2.318 | AVG(S2C) RT(ms):   1.671 | MAX(B2C) RT(ms): 264 | MAX(S2C) RT(ms): 264 | Consume Fail: 0
Current Time: 2026-08-24 04:58:20,712 | Consume TPS: 5806 | AVG(B2C) RT(ms):   2.825 | AVG(S2C) RT(ms):   2.153 | MAX(B2C) RT(ms): 354 | MAX(S2C) RT(ms): 353 | Consume Fail: 0
Current Time: 2026-08-24 04:58:30,712 | Consume TPS: 6094 | AVG(B2C) RT(ms):   2.193 | AVG(S2C) RT(ms):   1.558 | MAX(B2C) RT(ms): 336 | MAX(S2C) RT(ms): 335 | Consume Fail: 0
Current Time: 2026-08-24 04:58:40,712 | Consume TPS: 6057 | AVG(B2C) RT(ms):   2.153 | AVG(S2C) RT(ms):   1.517 | MAX(B2C) RT(ms): 23 | MAX(S2C) RT(ms): 22 | Consume Fail: 0
Current Time: 2026-08-24 04:58:50,712 | Consume TPS: 6096 | AVG(B2C) RT(ms):   2.153 | AVG(S2C) RT(ms):   1.524 | MAX(B2C) RT(ms): 13 | MAX(S2C) RT(ms): 11 | Consume Fail: 0
Current Time: 2026-08-24 04:59:00,712 | Consume TPS: 6108 | AVG(B2C) RT(ms):   2.163 | AVG(S2C) RT(ms):   1.531 | MAX(B2C) RT(ms): 16 | MAX(S2C) RT(ms): 15 | Consume Fail: 0
Current Time: 2026-08-24 04:59:10,712 | Consume TPS: 5976 | AVG(B2C) RT(ms):   5.312 | AVG(S2C) RT(ms):   4.660 | MAX(B2C) RT(ms): 181 | MAX(S2C) RT(ms): 180 | Consume Fail: 0
Current Time: 2026-08-24 04:59:20,712 | Consume TPS: 6075 | AVG(B2C) RT(ms):   2.346 | AVG(S2C) RT(ms):   1.714 | MAX(B2C) RT(ms): 34 | MAX(S2C) RT(ms): 33 | Consume Fail: 0
Current Time: 2026-08-24 04:59:30,712 | Consume TPS: 6086 | AVG(B2C) RT(ms):   2.385 | AVG(S2C) RT(ms):   1.751 | MAX(B2C) RT(ms): 28 | MAX(S2C) RT(ms): 28 | Consume Fail: 0
Current Time: 2026-08-24 04:59:40,712 | Consume TPS: 6074 | AVG(B2C) RT(ms):   2.190 | AVG(S2C) RT(ms):   1.557 | MAX(B2C) RT(ms): 98 | MAX(S2C) RT(ms): 98 | Consume Fail: 0
Current Time: 2026-08-24 04:59:50,712 | Consume TPS: 6137 | AVG(B2C) RT(ms):   2.412 | AVG(S2C) RT(ms):   1.787 | MAX(B2C) RT(ms): 36 | MAX(S2C) RT(ms): 36 | Consume Fail: 0
Current Time: 2026-08-24 05:00:00,712 | Consume TPS: 6064 | AVG(B2C) RT(ms):   2.235 | AVG(S2C) RT(ms):   1.597 | MAX(B2C) RT(ms): 319 | MAX(S2C) RT(ms): 318 | Consume Fail: 0
Current Time: 2026-08-24 05:00:10,712 | Consume TPS: 6048 | AVG(B2C) RT(ms):   3.809 | AVG(S2C) RT(ms):   3.170 | MAX(B2C) RT(ms): 317 | MAX(S2C) RT(ms): 317 | Consume Fail: 0
Current Time: 2026-08-24 05:00:20,712 | Consume TPS: 5933 | AVG(B2C) RT(ms):   2.652 | AVG(S2C) RT(ms):   1.993 | MAX(B2C) RT(ms): 329 | MAX(S2C) RT(ms): 328 | Consume Fail: 0
Current Time: 2026-08-24 05:00:30,712 | Consume TPS: 6120 | AVG(B2C) RT(ms):   2.239 | AVG(S2C) RT(ms):   1.612 | MAX(B2C) RT(ms): 469 | MAX(S2C) RT(ms): 468 | Consume Fail: 0
Current Time: 2026-08-24 05:00:40,712 | Consume TPS: 6075 | AVG(B2C) RT(ms):   2.258 | AVG(S2C) RT(ms):   1.621 | MAX(B2C) RT(ms): 484 | MAX(S2C) RT(ms): 484 | Consume Fail: 0
Current Time: 2026-08-24 05:00:50,712 | Consume TPS: 6093 | AVG(B2C) RT(ms):   2.201 | AVG(S2C) RT(ms):   1.567 | MAX(B2C) RT(ms): 487 | MAX(S2C) RT(ms): 486 | Consume Fail: 0
Current Time: 2026-08-24 05:01:00,712 | Consume TPS: 6137 | AVG(B2C) RT(ms):   2.347 | AVG(S2C) RT(ms):   1.723 | MAX(B2C) RT(ms): 459 | MAX(S2C) RT(ms): 458 | Consume Fail: 0
Current Time: 2026-08-24 05:01:10,712 | Consume TPS: 6098 | AVG(B2C) RT(ms):   2.165 | AVG(S2C) RT(ms):   1.532 | MAX(B2C) RT(ms): 43 | MAX(S2C) RT(ms): 42 | Consume Fail: 0
Current Time: 2026-08-24 05:01:20,712 | Consume TPS: 6100 | AVG(B2C) RT(ms):   2.423 | AVG(S2C) RT(ms):   1.785 | MAX(B2C) RT(ms): 406 | MAX(S2C) RT(ms): 405 | Consume Fail: 0
Current Time: 2026-08-24 05:01:30,712 | Consume TPS: 6125 | AVG(B2C) RT(ms):   2.267 | AVG(S2C) RT(ms):   1.641 | MAX(B2C) RT(ms): 433 | MAX(S2C) RT(ms): 433 | Consume Fail: 0
Current Time: 2026-08-24 05:01:40,712 | Consume TPS: 6105 | AVG(B2C) RT(ms):   2.176 | AVG(S2C) RT(ms):   1.550 | MAX(B2C) RT(ms): 87 | MAX(S2C) RT(ms): 86 | Consume Fail: 0
Current Time: 2026-08-24 05:01:50,712 | Consume TPS: 6093 | AVG(B2C) RT(ms):   2.168 | AVG(S2C) RT(ms):   1.534 | MAX(B2C) RT(ms): 409 | MAX(S2C) RT(ms): 408 | Consume Fail: 0
Current Time: 2026-08-24 05:02:00,712 | Consume TPS: 5952 | AVG(B2C) RT(ms):   2.717 | AVG(S2C) RT(ms):   2.066 | MAX(B2C) RT(ms): 477 | MAX(S2C) RT(ms): 477 | Consume Fail: 0
Current Time: 2026-08-24 05:02:10,712 | Consume TPS: 6053 | AVG(B2C) RT(ms):   2.297 | AVG(S2C) RT(ms):   1.664 | MAX(B2C) RT(ms): 432 | MAX(S2C) RT(ms): 432 | Consume Fail: 0
Current Time: 2026-08-24 05:02:20,712 | Consume TPS: 6011 | AVG(B2C) RT(ms):   2.277 | AVG(S2C) RT(ms):   1.634 | MAX(B2C) RT(ms): 125 | MAX(S2C) RT(ms): 124 | Consume Fail: 0
Current Time: 2026-08-24 05:02:30,712 | Consume TPS: 6116 | AVG(B2C) RT(ms):   2.173 | AVG(S2C) RT(ms):   1.545 | MAX(B2C) RT(ms): 33 | MAX(S2C) RT(ms): 32 | Consume Fail: 0
Current Time: 2026-08-24 05:02:40,712 | Consume TPS: 6130 | AVG(B2C) RT(ms):   2.178 | AVG(S2C) RT(ms):   1.551 | MAX(B2C) RT(ms): 24 | MAX(S2C) RT(ms): 23 | Consume Fail: 0
