topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 00:54:26,982 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 00:54:36,981 | Consume TPS: 2202 | AVG(B2C) RT(ms): 2150.111 | AVG(S2C) RT(ms): 2146.875 | MAX(B2C) RT(ms): 10143 | MAX(S2C) RT(ms): 10058 | Consume Fail: 0
Current Time: 2026-08-29 00:54:46,981 | Consume TPS: 4358 | AVG(B2C) RT(ms):   2.945 | AVG(S2C) RT(ms):   2.094 | MAX(B2C) RT(ms): 360 | MAX(S2C) RT(ms): 358 | Consume Fail: 0
Current Time: 2026-08-29 00:54:56,981 | Consume TPS: 4643 | AVG(B2C) RT(ms):   2.708 | AVG(S2C) RT(ms):   1.909 | MAX(B2C) RT(ms): 242 | MAX(S2C) RT(ms): 241 | Consume Fail: 0
Current Time: 2026-08-29 00:55:06,981 | Consume TPS: 4524 | AVG(B2C) RT(ms):   2.753 | AVG(S2C) RT(ms):   1.937 | MAX(B2C) RT(ms): 379 | MAX(S2C) RT(ms): 378 | Consume Fail: 0
Current Time: 2026-08-29 00:55:16,981 | Consume TPS: 4868 | AVG(B2C) RT(ms):   2.561 | AVG(S2C) RT(ms):   1.786 | MAX(B2C) RT(ms): 253 | MAX(S2C) RT(ms): 251 | Consume Fail: 0
Current Time: 2026-08-29 00:55:26,981 | Consume TPS: 4752 | AVG(B2C) RT(ms):   2.683 | AVG(S2C) RT(ms):   1.888 | MAX(B2C) RT(ms): 266 | MAX(S2C) RT(ms): 265 | Consume Fail: 0
Current Time: 2026-08-29 00:55:36,981 | Consume TPS: 4825 | AVG(B2C) RT(ms):   2.544 | AVG(S2C) RT(ms):   1.770 | MAX(B2C) RT(ms): 23 | MAX(S2C) RT(ms): 23 | Consume Fail: 0
Current Time: 2026-08-29 00:55:46,981 | Consume TPS: 4919 | AVG(B2C) RT(ms):   2.538 | AVG(S2C) RT(ms):   1.769 | MAX(B2C) RT(ms): 243 | MAX(S2C) RT(ms): 243 | Consume Fail: 0
Current Time: 2026-08-29 00:55:56,981 | Consume TPS: 4865 | AVG(B2C) RT(ms):   2.592 | AVG(S2C) RT(ms):   1.821 | MAX(B2C) RT(ms): 284 | MAX(S2C) RT(ms): 284 | Consume Fail: 0
Current Time: 2026-08-29 00:56:06,981 | Consume TPS: 4836 | AVG(B2C) RT(ms):   2.565 | AVG(S2C) RT(ms):   1.788 | MAX(B2C) RT(ms): 23 | MAX(S2C) RT(ms): 22 | Consume Fail: 0
