RESULT V2Z-Aseek-t1 seekrandom   :      64.059 micros/op 15610 ops/sec 32.030 seconds 500000 operations;   17.3 MB/s (408308 of 500000 found)
RESULT S0-Bread-t1 readrandom   :      16.148 micros/op 61927 ops/sec 32.296 seconds 2000000 operations;    6.9 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      78.571 micros/op 12727 ops/sec 39.285 seconds 500000 operations;   14.1 MB/s (408308 of 500000 found)
RESULT S0-Bread-t1 readrandom   :      15.780 micros/op 63369 ops/sec 31.561 seconds 2000000 operations;    7.0 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      79.194 micros/op 12627 ops/sec 39.597 seconds 500000 operations;   14.0 MB/s (408308 of 500000 found)
RESULT V2Z-Bread-t1 readrandom   :      12.284 micros/op 81406 ops/sec 24.568 seconds 2000000 operations;    9.0 MB/s (2000000 of 2000000 found)
RESULT V2Z-Aseek-t1 seekrandom   :      64.228 micros/op 15569 ops/sec 32.114 seconds 500000 operations;   17.2 MB/s (408308 of 500000 found)
RESULT V2Z-Bread-t1 readrandom   :      12.359 micros/op 80913 ops/sec 24.718 seconds 2000000 operations;    9.0 MB/s (2000000 of 2000000 found)
RESULT V2Z-Aseek-t1 seekrandom   :      63.339 micros/op 15788 ops/sec 31.669 seconds 500000 operations;   17.5 MB/s (408308 of 500000 found)
RESULT S0-Bread-t1 readrandom   :      15.975 micros/op 62597 ops/sec 31.950 seconds 2000000 operations;    6.9 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      78.631 micros/op 12717 ops/sec 39.315 seconds 500000 operations;   14.1 MB/s (408308 of 500000 found)
readrandom   :      11.050 micros/op 542101 ops/sec 29.515 seconds 16000000 operations;   40.7 MB/s (2000000 of 2000000 found)
Percentiles: P50: 8.31 P75: 15.65 P99: 33.88 P99.9: 65.33 P99.99: 161.45
readrandom   :      13.471 micros/op 437204 ops/sec 36.596 seconds 16000000 operations;   32.8 MB/s (2000000 of 2000000 found)
Percentiles: P50: 11.85 P75: 18.29 P99: 42.99 P99.9: 69.05 P99.99: 160.04
