topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 01:48:44,286 | Consume TPS: 3805 | AVG(B2C) RT(ms):   3.252 | AVG(S2C) RT(ms):   2.221 | MAX(B2C) RT(ms): 27 | MAX(S2C) RT(ms): 25 | Consume Fail: 0
Current Time: 2026-08-29 01:48:54,286 | Consume TPS: 3922 | AVG(B2C) RT(ms):   3.098 | AVG(S2C) RT(ms):   2.096 | MAX(B2C) RT(ms): 23 | MAX(S2C) RT(ms): 16 | Consume Fail: 0
Current Time: 2026-08-29 01:49:04,286 | Consume TPS: 3833 | AVG(B2C) RT(ms):   3.215 | AVG(S2C) RT(ms):   2.192 | MAX(B2C) RT(ms): 23 | MAX(S2C) RT(ms): 19 | Consume Fail: 0
Current Time: 2026-08-29 01:49:14,287 | Consume TPS: 3898 | AVG(B2C) RT(ms):   3.147 | AVG(S2C) RT(ms):   2.142 | MAX(B2C) RT(ms): 21 | MAX(S2C) RT(ms): 19 | Consume Fail: 0
Current Time: 2026-08-29 01:49:24,286 | Consume TPS: 3956 | AVG(B2C) RT(ms):   3.120 | AVG(S2C) RT(ms):   2.129 | MAX(B2C) RT(ms): 416 | MAX(S2C) RT(ms): 415 | Consume Fail: 0
Current Time: 2026-08-29 01:49:34,286 | Consume TPS: 3646 | AVG(B2C) RT(ms):   3.189 | AVG(S2C) RT(ms):   2.175 | MAX(B2C) RT(ms): 28 | MAX(S2C) RT(ms): 23 | Consume Fail: 0
Current Time: 2026-08-29 01:49:44,287 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:49:54,286 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:50:04,286 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:50:14,286 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:50:24,286 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:50:34,286 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:50:44,286 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
