topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 01:59:41,478 | Consume TPS: 3657 | AVG(B2C) RT(ms):   3.353 | AVG(S2C) RT(ms):   2.270 | MAX(B2C) RT(ms): 25 | MAX(S2C) RT(ms): 23 | Consume Fail: 0
Current Time: 2026-08-29 01:59:51,478 | Consume TPS: 3685 | AVG(B2C) RT(ms):   3.391 | AVG(S2C) RT(ms):   2.324 | MAX(B2C) RT(ms): 24 | MAX(S2C) RT(ms): 23 | Consume Fail: 0
Current Time: 2026-08-29 02:00:01,478 | Consume TPS: 3621 | AVG(B2C) RT(ms):   3.412 | AVG(S2C) RT(ms):   2.340 | MAX(B2C) RT(ms): 31 | MAX(S2C) RT(ms): 30 | Consume Fail: 0
Current Time: 2026-08-29 02:00:11,478 | Consume TPS: 3755 | AVG(B2C) RT(ms):   3.267 | AVG(S2C) RT(ms):   2.216 | MAX(B2C) RT(ms): 34 | MAX(S2C) RT(ms): 23 | Consume Fail: 0
Current Time: 2026-08-29 02:00:21,478 | Consume TPS: 3697 | AVG(B2C) RT(ms):   3.335 | AVG(S2C) RT(ms):   2.267 | MAX(B2C) RT(ms): 192 | MAX(S2C) RT(ms): 191 | Consume Fail: 0
Current Time: 2026-08-29 02:00:31,478 | Consume TPS: 3693 | AVG(B2C) RT(ms):   3.354 | AVG(S2C) RT(ms):   2.289 | MAX(B2C) RT(ms): 26 | MAX(S2C) RT(ms): 26 | Consume Fail: 0
Current Time: 2026-08-29 02:00:41,479 | Consume TPS: 3723 | AVG(B2C) RT(ms):   3.377 | AVG(S2C) RT(ms):   2.330 | MAX(B2C) RT(ms): 27 | MAX(S2C) RT(ms): 26 | Consume Fail: 0
Current Time: 2026-08-29 02:00:51,478 | Consume TPS: 3698 | AVG(B2C) RT(ms):   3.305 | AVG(S2C) RT(ms):   2.239 | MAX(B2C) RT(ms): 26 | MAX(S2C) RT(ms): 25 | Consume Fail: 0
Current Time: 2026-08-29 02:01:01,478 | Consume TPS: 3698 | AVG(B2C) RT(ms):   3.347 | AVG(S2C) RT(ms):   2.289 | MAX(B2C) RT(ms): 232 | MAX(S2C) RT(ms): 231 | Consume Fail: 0
Current Time: 2026-08-29 02:01:11,478 | Consume TPS: 3714 | AVG(B2C) RT(ms):   3.248 | AVG(S2C) RT(ms):   2.185 | MAX(B2C) RT(ms): 24 | MAX(S2C) RT(ms): 22 | Consume Fail: 0
Current Time: 2026-08-29 02:01:21,478 | Consume TPS: 3740 | AVG(B2C) RT(ms):   3.344 | AVG(S2C) RT(ms):   2.289 | MAX(B2C) RT(ms): 256 | MAX(S2C) RT(ms): 246 | Consume Fail: 0
Current Time: 2026-08-29 02:01:31,478 | Consume TPS: 3233 | AVG(B2C) RT(ms):   3.338 | AVG(S2C) RT(ms):   2.263 | MAX(B2C) RT(ms): 242 | MAX(S2C) RT(ms): 241 | Consume Fail: 0
Current Time: 2026-08-29 02:01:41,478 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:01:51,478 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:02:01,478 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
