topic: BenchmarkTest, threadCount: 8, messageSize: 131072, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 03:42:37,374 | Send TPS: 842 | Max RT(ms): 588 | Average RT(ms):   9.559 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:42:47,374 | Send TPS: 471 | Max RT(ms): 588 | Average RT(ms):  16.709 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:42:57,374 | Send TPS: 676 | Max RT(ms): 1351 | Average RT(ms):  11.843 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:43:07,374 | Send TPS: 712 | Max RT(ms): 1351 | Average RT(ms):  11.198 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:43:17,374 | Send TPS: 449 | Max RT(ms): 1351 | Average RT(ms):  18.484 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:43:27,374 | Send TPS: 1456 | Max RT(ms): 1351 | Average RT(ms):   5.486 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:43:37,374 | Send TPS: 1365 | Max RT(ms): 1351 | Average RT(ms):   5.853 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:43:47,374 | Send TPS: 1293 | Max RT(ms): 1351 | Average RT(ms):   6.170 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:43:57,374 | Send TPS: 1291 | Max RT(ms): 1351 | Average RT(ms):   6.165 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:44:07,375 | Send TPS: 1303 | Max RT(ms): 1351 | Average RT(ms):   6.129 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:44:17,374 | Send TPS: 1405 | Max RT(ms): 1351 | Average RT(ms):   5.676 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:44:27,374 | Send TPS: 1380 | Max RT(ms): 1351 | Average RT(ms):   5.778 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:44:37,374 | Send TPS: 1353 | Max RT(ms): 1351 | Average RT(ms):   5.888 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:44:47,374 | Send TPS: 1240 | Max RT(ms): 1351 | Average RT(ms):   6.430 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:44:57,374 | Send TPS: 1385 | Max RT(ms): 1351 | Average RT(ms):   5.753 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:45:07,374 | Send TPS: 1304 | Max RT(ms): 1351 | Average RT(ms):   6.115 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:45:17,374 | Send TPS: 1407 | Max RT(ms): 1351 | Average RT(ms):   5.663 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:45:27,374 | Send TPS: 1315 | Max RT(ms): 1351 | Average RT(ms):   6.067 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:45:37,374 | Send TPS: 1395 | Max RT(ms): 1351 | Average RT(ms):   5.718 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:45:47,374 | Send TPS: 1392 | Max RT(ms): 1351 | Average RT(ms):   5.725 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:45:57,374 | Send TPS: 1438 | Max RT(ms): 1351 | Average RT(ms):   5.550 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:46:07,374 | Send TPS: 1383 | Max RT(ms): 1351 | Average RT(ms):   5.767 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:46:17,374 | Send TPS: 1439 | Max RT(ms): 1351 | Average RT(ms):   5.544 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:46:27,375 | Send TPS: 1410 | Max RT(ms): 1351 | Average RT(ms):   5.657 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:46:37,374 | Send TPS: 1417 | Max RT(ms): 1351 | Average RT(ms):   5.635 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:46:47,374 | Send TPS: 1436 | Max RT(ms): 1351 | Average RT(ms):   5.559 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:46:57,374 | Send TPS: 1105 | Max RT(ms): 1351 | Average RT(ms):   7.224 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:47:07,374 | Send TPS: 1253 | Max RT(ms): 1351 | Average RT(ms):   6.362 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:47:17,374 | Send TPS: 1426 | Max RT(ms): 1351 | Average RT(ms):   5.594 | Send Failed: 0 | Response Failed: 0
