RESULT SP-fill fillrandom   :      12.677 micros/op 78885 ops/sec 253.531 seconds 20000000 operations;    8.7 MB/s
RESULT V2-fill fillrandom   :      15.088 micros/op 66276 ops/sec 301.768 seconds 20000000 operations;    7.3 MB/s
RESULT V5-fill fillrandom   :      14.411 micros/op 69389 ops/sec 288.228 seconds 20000000 operations;    7.7 MB/s
RESULT GP-fill fillrandom   :      15.347 micros/op 65157 ops/sec 306.950 seconds 20000000 operations;    7.2 MB/s
RESULT V2-fill fillrandom   :      15.044 micros/op 66470 ops/sec 300.884 seconds 20000000 operations;    7.4 MB/s
RESULT V5-fill fillrandom   :      14.464 micros/op 69135 ops/sec 289.287 seconds 20000000 operations;    7.6 MB/s
RESULT GP-fill fillrandom   :      14.051 micros/op 71168 ops/sec 281.023 seconds 20000000 operations;    7.9 MB/s
RESULT SP-fill fillrandom   :      14.051 micros/op 71169 ops/sec 281.019 seconds 20000000 operations;    7.9 MB/s
RESULT V5-fill fillrandom   :      13.632 micros/op 73358 ops/sec 272.632 seconds 20000000 operations;    8.1 MB/s
RESULT GP-fill fillrandom   :      14.769 micros/op 67708 ops/sec 295.382 seconds 20000000 operations;    7.5 MB/s
RESULT SP-fill fillrandom   :      14.225 micros/op 70296 ops/sec 284.507 seconds 20000000 operations;    7.8 MB/s
RESULT V2-fill fillrandom   :      14.103 micros/op 70905 ops/sec 282.067 seconds 20000000 operations;    7.8 MB/s
RESULT GP-fill fillrandom   :      15.283 micros/op 65433 ops/sec 305.654 seconds 20000000 operations;    7.2 MB/s
RESULT SP-fill fillrandom   :      13.887 micros/op 72009 ops/sec 277.741 seconds 20000000 operations;    8.0 MB/s
RESULT V2-fill fillrandom   :      13.936 micros/op 71754 ops/sec 278.728 seconds 20000000 operations;    7.9 MB/s
RESULT V5-fill fillrandom   :      13.276 micros/op 75325 ops/sec 265.515 seconds 20000000 operations;    8.3 MB/s
RESULT SP-Bread-t1 readrandom   :      14.062 micros/op 71114 ops/sec 28.124 seconds 2000000 operations;    7.9 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek-t1 seekrandom   :      71.550 micros/op 13976 ops/sec 35.775 seconds 500000 operations;   15.5 MB/s (408308 of 500000 found)
RESULT V2-Bread-t1 readrandom   :      11.833 micros/op 84511 ops/sec 23.665 seconds 2000000 operations;    9.3 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek-t1 seekrandom   :      64.949 micros/op 15396 ops/sec 32.474 seconds 500000 operations;   17.0 MB/s (408308 of 500000 found)
RESULT V5-Bread-t1 readrandom   :      12.732 micros/op 78541 ops/sec 25.464 seconds 2000000 operations;    8.7 MB/s (2000000 of 2000000 found)
RESULT V5-Aseek-t1 seekrandom   :      66.636 micros/op 15006 ops/sec 33.318 seconds 500000 operations;   16.6 MB/s (408308 of 500000 found)
RESULT GP-Bread-t1 readrandom   :      14.181 micros/op 70517 ops/sec 28.362 seconds 2000000 operations;    7.8 MB/s (2000000 of 2000000 found)
