RESULT V1-Aseek seekrandom   :      78.469 micros/op 100960 ops/sec 39.619 seconds 4000000 operations;  111.7 MB/s (408308 of 500000 found)
RESULT GP-Bread readrandom   :      12.360 micros/op 482064 ops/sec 33.191 seconds 16000000 operations;   36.2 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek seekrandom   :      87.142 micros/op 90613 ops/sec 44.144 seconds 4000000 operations;  100.2 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.469 micros/op 439135 ops/sec 36.435 seconds 16000000 operations;   32.9 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      89.504 micros/op 88021 ops/sec 45.443 seconds 4000000 operations;   97.4 MB/s (408308 of 500000 found)
RESULT SP-Bread readrandom   :      11.652 micros/op 506111 ops/sec 31.614 seconds 16000000 operations;   38.0 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :      76.798 micros/op 102873 ops/sec 38.883 seconds 4000000 operations;  113.8 MB/s (408308 of 500000 found)
RESULT V1-Bread readrandom   :      11.633 micros/op 503753 ops/sec 31.762 seconds 16000000 operations;   37.8 MB/s (2000000 of 2000000 found)
RESULT V1-Aseek seekrandom   :      78.475 micros/op 101319 ops/sec 39.479 seconds 4000000 operations;  112.1 MB/s (408308 of 500000 found)
RESULT V3-Bread readrandom   :      11.715 micros/op 503485 ops/sec 31.778 seconds 16000000 operations;   37.8 MB/s (2000000 of 2000000 found)
RESULT V3-Aseek seekrandom   :      77.327 micros/op 102786 ops/sec 38.916 seconds 4000000 operations;  113.7 MB/s (408308 of 500000 found)
RESULT S0-fill fillrandom   :      13.291 micros/op 75236 ops/sec 265.829 seconds 20000000 operations;    8.3 MB/s
RESULT SP-fill fillrandom   :      13.559 micros/op 73751 ops/sec 271.181 seconds 20000000 operations;    8.2 MB/s
RESULT V1-fill fillrandom   :      14.562 micros/op 68669 ops/sec 291.250 seconds 20000000 operations;    7.6 MB/s
RESULT V3-fill fillrandom   :      14.936 micros/op 66950 ops/sec 298.727 seconds 20000000 operations;    7.4 MB/s
RESULT GP-fill fillrandom   :      15.421 micros/op 64847 ops/sec 308.414 seconds 20000000 operations;    7.2 MB/s
RESULT SP-fill fillrandom   :      15.132 micros/op 66083 ops/sec 302.645 seconds 20000000 operations;    7.3 MB/s
RESULT V1-fill fillrandom   :      14.713 micros/op 67969 ops/sec 294.251 seconds 20000000 operations;    7.5 MB/s
RESULT V3-fill fillrandom   :      14.448 micros/op 69211 ops/sec 288.967 seconds 20000000 operations;    7.7 MB/s
RESULT GP-fill fillrandom   :      14.728 micros/op 67898 ops/sec 294.557 seconds 20000000 operations;    7.5 MB/s
RESULT S0-fill fillrandom   :      15.973 micros/op 62604 ops/sec 319.467 seconds 20000000 operations;    6.9 MB/s
RESULT V1-fill fillrandom   :      13.916 micros/op 71860 ops/sec 278.317 seconds 20000000 operations;    7.9 MB/s
RESULT V3-fill fillrandom   :      14.476 micros/op 69077 ops/sec 289.529 seconds 20000000 operations;    7.6 MB/s
RESULT GP-fill fillrandom   :      15.102 micros/op 66217 ops/sec 302.033 seconds 20000000 operations;    7.3 MB/s
RESULT S0-fill fillrandom   :      14.537 micros/op 68791 ops/sec 290.734 seconds 20000000 operations;    7.6 MB/s
RESULT SP-fill fillrandom   :      13.873 micros/op 72083 ops/sec 277.456 seconds 20000000 operations;    8.0 MB/s
RESULT V3-fill fillrandom   :      14.111 micros/op 70868 ops/sec 282.212 seconds 20000000 operations;    7.8 MB/s
RESULT GP-fill fillrandom   :      15.107 micros/op 66192 ops/sec 302.149 seconds 20000000 operations;    7.3 MB/s
RESULT S0-fill fillrandom   :      15.631 micros/op 63974 ops/sec 312.623 seconds 20000000 operations;    7.1 MB/s
RESULT SP-fill fillrandom   :      14.376 micros/op 69560 ops/sec 287.519 seconds 20000000 operations;    7.7 MB/s
RESULT V1-fill fillrandom   :      14.205 micros/op 70395 ops/sec 284.108 seconds 20000000 operations;    7.8 MB/s
RESULT S0-Bread-t1 readrandom   :      16.730 micros/op 59772 ops/sec 33.460 seconds 2000000 operations;    6.6 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      77.617 micros/op 12883 ops/sec 38.808 seconds 500000 operations;   14.3 MB/s (408308 of 500000 found)
RESULT SP-Bread-t1 readrandom   :      13.690 micros/op 73048 ops/sec 27.379 seconds 2000000 operations;    8.1 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek-t1 seekrandom   :      66.218 micros/op 15101 ops/sec 33.109 seconds 500000 operations;   16.7 MB/s (408308 of 500000 found)
RESULT V1-Bread-t1 readrandom   :      13.542 micros/op 73844 ops/sec 27.084 seconds 2000000 operations;    8.2 MB/s (2000000 of 2000000 found)
RESULT V1-Aseek-t1 seekrandom   :      67.562 micros/op 14801 ops/sec 33.781 seconds 500000 operations;   16.4 MB/s (408308 of 500000 found)
