topic: BenchmarkTest, threadCount: 8, messageSize: 1024, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 01:15:54,740 | Send TPS: 1131 | Max RT(ms): 709 | Average RT(ms):   7.160 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:16:04,740 | Send TPS: 6460 | Max RT(ms): 709 | Average RT(ms):   1.235 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:16:14,740 | Send TPS: 7354 | Max RT(ms): 709 | Average RT(ms):   1.086 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:16:24,740 | Send TPS: 7499 | Max RT(ms): 709 | Average RT(ms):   1.065 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:16:34,740 | Send TPS: 7756 | Max RT(ms): 709 | Average RT(ms):   1.030 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:16:44,740 | Send TPS: 7772 | Max RT(ms): 709 | Average RT(ms):   1.028 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:16:54,740 | Send TPS: 7637 | Max RT(ms): 709 | Average RT(ms):   1.046 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:17:04,740 | Send TPS: 7637 | Max RT(ms): 709 | Average RT(ms):   1.046 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:17:14,740 | Send TPS: 7759 | Max RT(ms): 709 | Average RT(ms):   1.030 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:17:24,740 | Send TPS: 7687 | Max RT(ms): 709 | Average RT(ms):   1.040 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:17:34,740 | Send TPS: 7725 | Max RT(ms): 709 | Average RT(ms):   1.034 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:17:44,740 | Send TPS: 7681 | Max RT(ms): 709 | Average RT(ms):   1.041 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:17:54,740 | Send TPS: 7373 | Max RT(ms): 709 | Average RT(ms):   1.084 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:18:04,740 | Send TPS: 7686 | Max RT(ms): 709 | Average RT(ms):   1.040 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:18:14,740 | Send TPS: 7335 | Max RT(ms): 709 | Average RT(ms):   1.089 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:18:24,740 | Send TPS: 3353 | Max RT(ms): 709 | Average RT(ms):   2.384 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:18:34,741 | Send TPS: 1177 | Max RT(ms): 709 | Average RT(ms):   6.797 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:18:44,740 | Send TPS: 3795 | Max RT(ms): 709 | Average RT(ms):   2.107 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:18:54,740 | Send TPS: 3723 | Max RT(ms): 709 | Average RT(ms):   2.156 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:19:04,740 | Send TPS: 4578 | Max RT(ms): 709 | Average RT(ms):   1.746 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:19:14,740 | Send TPS: 4648 | Max RT(ms): 709 | Average RT(ms):   1.720 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:19:24,740 | Send TPS: 4624 | Max RT(ms): 709 | Average RT(ms):   1.729 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:19:34,740 | Send TPS: 4759 | Max RT(ms): 709 | Average RT(ms):   1.679 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:19:44,740 | Send TPS: 4823 | Max RT(ms): 709 | Average RT(ms):   1.657 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:19:54,740 | Send TPS: 4750 | Max RT(ms): 709 | Average RT(ms):   1.683 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:20:04,740 | Send TPS: 4273 | Max RT(ms): 709 | Average RT(ms):   1.871 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:20:14,741 | Send TPS: 3275 | Max RT(ms): 709 | Average RT(ms):   2.425 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:20:24,740 | Send TPS: 2444 | Max RT(ms): 966 | Average RT(ms):   3.255 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:20:34,740 | Send TPS: 2922 | Max RT(ms): 966 | Average RT(ms):   2.766 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:20:44,740 | Send TPS: 4072 | Max RT(ms): 966 | Average RT(ms):   1.963 | Send Failed: 0 | Response Failed: 0
