topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 02:11:41,472 | Consume TPS: 3681 | AVG(B2C) RT(ms):   3.305 | AVG(S2C) RT(ms):   2.226 | MAX(B2C) RT(ms): 258 | MAX(S2C) RT(ms): 257 | Consume Fail: 0
Current Time: 2026-08-29 02:11:51,472 | Consume TPS: 3759 | AVG(B2C) RT(ms):   3.344 | AVG(S2C) RT(ms):   2.301 | MAX(B2C) RT(ms): 753 | MAX(S2C) RT(ms): 752 | Consume Fail: 0
Current Time: 2026-08-29 02:12:01,472 | Consume TPS: 3672 | AVG(B2C) RT(ms):   3.445 | AVG(S2C) RT(ms):   2.379 | MAX(B2C) RT(ms): 848 | MAX(S2C) RT(ms): 847 | Consume Fail: 0
Current Time: 2026-08-29 02:12:11,472 | Consume TPS: 3719 | AVG(B2C) RT(ms):   3.293 | AVG(S2C) RT(ms):   2.225 | MAX(B2C) RT(ms): 31 | MAX(S2C) RT(ms): 30 | Consume Fail: 0
Current Time: 2026-08-29 02:12:21,473 | Consume TPS: 3665 | AVG(B2C) RT(ms):   3.391 | AVG(S2C) RT(ms):   2.316 | MAX(B2C) RT(ms): 262 | MAX(S2C) RT(ms): 261 | Consume Fail: 0
Current Time: 2026-08-29 02:12:31,473 | Consume TPS: 3563 | AVG(B2C) RT(ms):   3.497 | AVG(S2C) RT(ms):   2.383 | MAX(B2C) RT(ms): 245 | MAX(S2C) RT(ms): 243 | Consume Fail: 0
Current Time: 2026-08-29 02:12:41,472 | Consume TPS: 3738 | AVG(B2C) RT(ms):   3.344 | AVG(S2C) RT(ms):   2.290 | MAX(B2C) RT(ms): 28 | MAX(S2C) RT(ms): 28 | Consume Fail: 0
Current Time: 2026-08-29 02:12:51,472 | Consume TPS: 3677 | AVG(B2C) RT(ms):   3.369 | AVG(S2C) RT(ms):   2.296 | MAX(B2C) RT(ms): 840 | MAX(S2C) RT(ms): 838 | Consume Fail: 0
Current Time: 2026-08-29 02:13:01,472 | Consume TPS: 3701 | AVG(B2C) RT(ms):   3.344 | AVG(S2C) RT(ms):   2.275 | MAX(B2C) RT(ms): 28 | MAX(S2C) RT(ms): 27 | Consume Fail: 0
Current Time: 2026-08-29 02:13:11,472 | Consume TPS: 3723 | AVG(B2C) RT(ms):   3.296 | AVG(S2C) RT(ms):   2.232 | MAX(B2C) RT(ms): 569 | MAX(S2C) RT(ms): 568 | Consume Fail: 0
Current Time: 2026-08-29 02:13:21,472 | Consume TPS: 3623 | AVG(B2C) RT(ms):   3.426 | AVG(S2C) RT(ms):   2.332 | MAX(B2C) RT(ms): 26 | MAX(S2C) RT(ms): 18 | Consume Fail: 0
Current Time: 2026-08-29 02:13:31,472 | Consume TPS: 3301 | AVG(B2C) RT(ms):   3.326 | AVG(S2C) RT(ms):   2.256 | MAX(B2C) RT(ms): 27 | MAX(S2C) RT(ms): 20 | Consume Fail: 0
Current Time: 2026-08-29 02:13:41,472 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:13:51,472 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:14:01,472 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
