topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 02:28:15,150 | Consume TPS: 3654 | AVG(B2C) RT(ms):   3.627 | AVG(S2C) RT(ms):   2.555 | MAX(B2C) RT(ms): 64 | MAX(S2C) RT(ms): 63 | Consume Fail: 0
Current Time: 2026-08-29 02:28:25,150 | Consume TPS: 3677 | AVG(B2C) RT(ms):   3.398 | AVG(S2C) RT(ms):   2.316 | MAX(B2C) RT(ms): 161 | MAX(S2C) RT(ms): 159 | Consume Fail: 0
Current Time: 2026-08-29 02:28:35,150 | Consume TPS: 3520 | AVG(B2C) RT(ms):   3.700 | AVG(S2C) RT(ms):   2.562 | MAX(B2C) RT(ms): 568 | MAX(S2C) RT(ms): 567 | Consume Fail: 0
Current Time: 2026-08-29 02:28:45,150 | Consume TPS: 3752 | AVG(B2C) RT(ms):   3.421 | AVG(S2C) RT(ms):   2.365 | MAX(B2C) RT(ms): 540 | MAX(S2C) RT(ms): 539 | Consume Fail: 0
Current Time: 2026-08-29 02:28:55,151 | Consume TPS: 3739 | AVG(B2C) RT(ms):   3.419 | AVG(S2C) RT(ms):   2.360 | MAX(B2C) RT(ms): 592 | MAX(S2C) RT(ms): 591 | Consume Fail: 0
Current Time: 2026-08-29 02:29:05,150 | Consume TPS: 3657 | AVG(B2C) RT(ms):   3.498 | AVG(S2C) RT(ms):   2.417 | MAX(B2C) RT(ms): 628 | MAX(S2C) RT(ms): 626 | Consume Fail: 0
Current Time: 2026-08-29 02:29:15,150 | Consume TPS: 3644 | AVG(B2C) RT(ms):   3.413 | AVG(S2C) RT(ms):   2.329 | MAX(B2C) RT(ms): 67 | MAX(S2C) RT(ms): 66 | Consume Fail: 0
Current Time: 2026-08-29 02:29:25,150 | Consume TPS: 3670 | AVG(B2C) RT(ms):   3.593 | AVG(S2C) RT(ms):   2.508 | MAX(B2C) RT(ms): 115 | MAX(S2C) RT(ms): 114 | Consume Fail: 0
Current Time: 2026-08-29 02:29:35,151 | Consume TPS: 3650 | AVG(B2C) RT(ms):   3.494 | AVG(S2C) RT(ms):   2.411 | MAX(B2C) RT(ms): 617 | MAX(S2C) RT(ms): 615 | Consume Fail: 0
Current Time: 2026-08-29 02:29:45,150 | Consume TPS: 3743 | AVG(B2C) RT(ms):   3.314 | AVG(S2C) RT(ms):   2.252 | MAX(B2C) RT(ms): 623 | MAX(S2C) RT(ms): 622 | Consume Fail: 0
Current Time: 2026-08-29 02:29:55,150 | Consume TPS: 3746 | AVG(B2C) RT(ms):   3.454 | AVG(S2C) RT(ms):   2.391 | MAX(B2C) RT(ms): 606 | MAX(S2C) RT(ms): 604 | Consume Fail: 0
Current Time: 2026-08-29 02:30:05,150 | Consume TPS: 3700 | AVG(B2C) RT(ms):   3.271 | AVG(S2C) RT(ms):   2.206 | MAX(B2C) RT(ms): 28 | MAX(S2C) RT(ms): 26 | Consume Fail: 0
Current Time: 2026-08-29 02:30:15,150 | Consume TPS: 3338 | AVG(B2C) RT(ms):   3.501 | AVG(S2C) RT(ms):   2.415 | MAX(B2C) RT(ms): 669 | MAX(S2C) RT(ms): 669 | Consume Fail: 0
Current Time: 2026-08-29 02:30:25,150 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:30:35,150 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:30:45,150 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
