topic: BenchmarkTest, threadCount: 8, messageSize: 1024, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 01:01:36,450 | Send TPS: 1455 | Max RT(ms): 691 | Average RT(ms):   5.539 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:01:46,450 | Send TPS: 6831 | Max RT(ms): 691 | Average RT(ms):   1.168 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:01:56,450 | Send TPS: 7603 | Max RT(ms): 691 | Average RT(ms):   1.050 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:02:06,450 | Send TPS: 7373 | Max RT(ms): 691 | Average RT(ms):   1.084 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:02:16,450 | Send TPS: 7810 | Max RT(ms): 691 | Average RT(ms):   1.023 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:02:26,450 | Send TPS: 7865 | Max RT(ms): 691 | Average RT(ms):   1.016 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:02:36,450 | Send TPS: 7761 | Max RT(ms): 691 | Average RT(ms):   1.029 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:02:46,450 | Send TPS: 7830 | Max RT(ms): 691 | Average RT(ms):   1.020 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:02:56,450 | Send TPS: 7819 | Max RT(ms): 691 | Average RT(ms):   1.022 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:03:06,450 | Send TPS: 7686 | Max RT(ms): 691 | Average RT(ms):   1.040 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:03:16,450 | Send TPS: 7787 | Max RT(ms): 691 | Average RT(ms):   1.026 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:03:26,450 | Send TPS: 7591 | Max RT(ms): 691 | Average RT(ms):   1.053 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:03:36,450 | Send TPS: 7516 | Max RT(ms): 691 | Average RT(ms):   1.063 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:03:46,450 | Send TPS: 7775 | Max RT(ms): 691 | Average RT(ms):   1.028 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:03:56,450 | Send TPS: 7469 | Max RT(ms): 691 | Average RT(ms):   1.070 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:04:06,450 | Send TPS: 3446 | Max RT(ms): 691 | Average RT(ms):   2.319 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:04:16,450 | Send TPS: 1075 | Max RT(ms): 969 | Average RT(ms):   7.464 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:04:26,450 | Send TPS: 976 | Max RT(ms): 969 | Average RT(ms):   8.185 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:04:36,453 | Send TPS: 3925 | Max RT(ms): 969 | Average RT(ms):   2.051 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:04:46,505 | Send TPS: 4505 | Max RT(ms): 969 | Average RT(ms):   1.773 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:04:56,450 | Send TPS: 3532 | Max RT(ms): 969 | Average RT(ms):   2.252 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:05:06,450 | Send TPS: 3804 | Max RT(ms): 969 | Average RT(ms):   2.094 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:05:16,450 | Send TPS: 4682 | Max RT(ms): 969 | Average RT(ms):   1.706 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:05:26,450 | Send TPS: 4772 | Max RT(ms): 969 | Average RT(ms):   1.675 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:05:36,453 | Send TPS: 4856 | Max RT(ms): 969 | Average RT(ms):   1.646 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:05:46,450 | Send TPS: 4886 | Max RT(ms): 969 | Average RT(ms):   1.635 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:05:56,450 | Send TPS: 4956 | Max RT(ms): 969 | Average RT(ms):   1.612 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:06:06,450 | Send TPS: 4804 | Max RT(ms): 969 | Average RT(ms):   1.663 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:06:16,450 | Send TPS: 4913 | Max RT(ms): 969 | Average RT(ms):   1.627 | Send Failed: 0 | Response Failed: 0
