topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 00:33:00,722 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 00:33:10,721 | Consume TPS: 2373 | AVG(B2C) RT(ms): 1968.943 | AVG(S2C) RT(ms): 1966.009 | MAX(B2C) RT(ms): 10356 | MAX(S2C) RT(ms): 10194 | Consume Fail: 0
Current Time: 2026-08-29 00:33:20,721 | Consume TPS: 3988 | AVG(B2C) RT(ms):   3.096 | AVG(S2C) RT(ms):   2.172 | MAX(B2C) RT(ms): 58 | MAX(S2C) RT(ms): 56 | Consume Fail: 0
Current Time: 2026-08-29 00:33:30,721 | Consume TPS: 4410 | AVG(B2C) RT(ms):   2.821 | AVG(S2C) RT(ms):   1.981 | MAX(B2C) RT(ms): 37 | MAX(S2C) RT(ms): 36 | Consume Fail: 0
Current Time: 2026-08-29 00:33:40,721 | Consume TPS: 4627 | AVG(B2C) RT(ms):   2.660 | AVG(S2C) RT(ms):   1.862 | MAX(B2C) RT(ms): 38 | MAX(S2C) RT(ms): 37 | Consume Fail: 0
Current Time: 2026-08-29 00:33:50,721 | Consume TPS: 4899 | AVG(B2C) RT(ms):   2.577 | AVG(S2C) RT(ms):   1.805 | MAX(B2C) RT(ms): 43 | MAX(S2C) RT(ms): 42 | Consume Fail: 0
Current Time: 2026-08-29 00:34:00,721 | Consume TPS: 4862 | AVG(B2C) RT(ms):   2.597 | AVG(S2C) RT(ms):   1.818 | MAX(B2C) RT(ms): 37 | MAX(S2C) RT(ms): 36 | Consume Fail: 0
Current Time: 2026-08-29 00:34:10,721 | Consume TPS: 4915 | AVG(B2C) RT(ms):   2.550 | AVG(S2C) RT(ms):   1.784 | MAX(B2C) RT(ms): 35 | MAX(S2C) RT(ms): 34 | Consume Fail: 0
Current Time: 2026-08-29 00:34:20,721 | Consume TPS: 4937 | AVG(B2C) RT(ms):   2.525 | AVG(S2C) RT(ms):   1.767 | MAX(B2C) RT(ms): 28 | MAX(S2C) RT(ms): 27 | Consume Fail: 0
Current Time: 2026-08-29 00:34:30,721 | Consume TPS: 4945 | AVG(B2C) RT(ms):   2.504 | AVG(S2C) RT(ms):   1.742 | MAX(B2C) RT(ms): 25 | MAX(S2C) RT(ms): 24 | Consume Fail: 0
Current Time: 2026-08-29 00:34:40,721 | Consume TPS: 4941 | AVG(B2C) RT(ms):   2.501 | AVG(S2C) RT(ms):   1.740 | MAX(B2C) RT(ms): 265 | MAX(S2C) RT(ms): 265 | Consume Fail: 0
Current Time: 2026-08-29 00:34:50,721 | Consume TPS: 4919 | AVG(B2C) RT(ms):   2.572 | AVG(S2C) RT(ms):   1.810 | MAX(B2C) RT(ms): 589 | MAX(S2C) RT(ms): 588 | Consume Fail: 0
Current Time: 2026-08-29 00:35:00,721 | Consume TPS: 4904 | AVG(B2C) RT(ms):   2.569 | AVG(S2C) RT(ms):   1.802 | MAX(B2C) RT(ms): 574 | MAX(S2C) RT(ms): 573 | Consume Fail: 0
