topic: BenchmarkTest, threadCount: 4, messageSize: 131072, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 04:30:55,928 | Send TPS: 862 | Max RT(ms): 555 | Average RT(ms):   4.681 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:31:05,930 | Send TPS: 1519 | Max RT(ms): 555 | Average RT(ms):   2.627 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:31:15,930 | Send TPS: 1703 | Max RT(ms): 555 | Average RT(ms):   2.342 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:31:25,929 | Send TPS: 1588 | Max RT(ms): 555 | Average RT(ms):   2.512 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:31:35,929 | Send TPS: 1659 | Max RT(ms): 555 | Average RT(ms):   2.401 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:31:45,928 | Send TPS: 1712 | Max RT(ms): 555 | Average RT(ms):   2.326 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:31:55,928 | Send TPS: 1601 | Max RT(ms): 555 | Average RT(ms):   2.488 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:32:05,928 | Send TPS: 1720 | Max RT(ms): 555 | Average RT(ms):   2.316 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:32:15,929 | Send TPS: 1613 | Max RT(ms): 555 | Average RT(ms):   2.468 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:32:25,928 | Send TPS: 1718 | Max RT(ms): 555 | Average RT(ms):   2.320 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:32:35,928 | Send TPS: 1670 | Max RT(ms): 555 | Average RT(ms):   2.383 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:32:45,928 | Send TPS: 758 | Max RT(ms): 1377 | Average RT(ms):   3.946 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:32:55,928 | Send TPS: 1725 | Max RT(ms): 1377 | Average RT(ms):   2.307 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:33:05,928 | Send TPS: 1477 | Max RT(ms): 1377 | Average RT(ms):   2.696 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:33:15,929 | Send TPS: 1536 | Max RT(ms): 1377 | Average RT(ms):   2.589 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:33:25,928 | Send TPS: 1311 | Max RT(ms): 1377 | Average RT(ms):   3.034 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:33:35,928 | Send TPS: 1308 | Max RT(ms): 1377 | Average RT(ms):   3.047 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:33:45,928 | Send TPS: 1449 | Max RT(ms): 1377 | Average RT(ms):   2.743 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:33:55,928 | Send TPS: 902 | Max RT(ms): 1377 | Average RT(ms):   4.420 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:34:05,928 | Send TPS: 361 | Max RT(ms): 1377 | Average RT(ms):  11.056 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:34:15,928 | Send TPS: 369 | Max RT(ms): 1377 | Average RT(ms):  10.439 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:34:25,928 | Send TPS: 252 | Max RT(ms): 2077 | Average RT(ms):  13.777 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:34:35,928 | Send TPS: 383 | Max RT(ms): 2077 | Average RT(ms):  10.412 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:34:45,928 | Send TPS: 421 | Max RT(ms): 2077 | Average RT(ms):   9.481 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:34:55,928 | Send TPS: 367 | Max RT(ms): 2077 | Average RT(ms):  10.907 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:35:05,935 | Send TPS: 408 | Max RT(ms): 2077 | Average RT(ms):   9.938 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:35:15,928 | Send TPS: 817 | Max RT(ms): 2077 | Average RT(ms):   4.882 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:35:25,929 | Send TPS: 536 | Max RT(ms): 2077 | Average RT(ms):   7.437 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:35:35,928 | Send TPS: 428 | Max RT(ms): 2077 | Average RT(ms):   9.320 | Send Failed: 0 | Response Failed: 0
