RESULT V2-Aseek-t1 seekrandom   :      63.756 micros/op 15684 ops/sec 31.878 seconds 500000 operations;   17.4 MB/s (408308 of 500000 found)
RESULT S0-Bread-t1 readrandom   :      16.084 micros/op 62173 ops/sec 32.168 seconds 2000000 operations;    6.9 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      77.305 micros/op 12935 ops/sec 38.653 seconds 500000 operations;   14.3 MB/s (408308 of 500000 found)
RESULT S0-Bread-t1 readrandom   :      15.766 micros/op 63426 ops/sec 31.533 seconds 2000000 operations;    7.0 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      79.405 micros/op 12593 ops/sec 39.703 seconds 500000 operations;   13.9 MB/s (408308 of 500000 found)
RESULT V2-Bread-t1 readrandom   :      12.152 micros/op 82291 ops/sec 24.304 seconds 2000000 operations;    9.1 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek-t1 seekrandom   :      62.071 micros/op 16110 ops/sec 31.035 seconds 500000 operations;   17.8 MB/s (408308 of 500000 found)
RESULT V2-Bread-t1 readrandom   :      12.120 micros/op 82511 ops/sec 24.239 seconds 2000000 operations;    9.1 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek-t1 seekrandom   :      62.536 micros/op 15990 ops/sec 31.268 seconds 500000 operations;   17.7 MB/s (408308 of 500000 found)
RESULT S0-Bread-t1 readrandom   :      15.835 micros/op 63151 ops/sec 31.670 seconds 2000000 operations;    7.0 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      78.609 micros/op 12721 ops/sec 39.305 seconds 500000 operations;   14.1 MB/s (408308 of 500000 found)
RESULT P99read readrandom   :      10.858 micros/op 548486 ops/sec 29.171 seconds 16000000 operations;   41.1 MB/s (2000000 of 2000000 found)
readrandom   :      13.371 micros/op 441337 ops/sec 36.253 seconds 16000000 operations;   33.1 MB/s (2000000 of 2000000 found)
Percentiles: P50: 11.86 P75: 18.00 P99: 41.64 P99.9: 69.73 P99.99: 161.38
readrandom   :      10.818 micros/op 548112 ops/sec 29.191 seconds 16000000 operations;   41.1 MB/s (2000000 of 2000000 found)
Percentiles: P50: 8.23 P75: 15.46 P99: 33.88 P99.9: 64.03 P99.99: 161.66
