RESULT N-fill fillrandom   :      15.129 micros/op 66096 ops/sec 302.586 seconds 20000000 operations;    7.3 MB/s
RESULT S-fill fillrandom   :      16.946 micros/op 59012 ops/sec 338.910 seconds 20000000 operations;    6.5 MB/s
RESULT G-fill fillrandom   :      15.885 micros/op 62951 ops/sec 317.707 seconds 20000000 operations;    7.0 MB/s
RESULT S-fill fillrandom   :      18.317 micros/op 54595 ops/sec 366.331 seconds 20000000 operations;    6.0 MB/s
RESULT G-fill fillrandom   :      14.385 micros/op 69516 ops/sec 287.703 seconds 20000000 operations;    7.7 MB/s
RESULT N-fill fillrandom   :      14.188 micros/op 70482 ops/sec 283.758 seconds 20000000 operations;    7.8 MB/s
RESULT S-Bread-t1 readrandom   :      14.300 micros/op 69931 ops/sec 28.599 seconds 2000000 operations;    7.7 MB/s (2000000 of 2000000 found)
RESULT S-Aseek-t1 seekrandom   :      81.360 micros/op 12291 ops/sec 40.680 seconds 500000 operations;   13.6 MB/s (408308 of 500000 found)
RESULT G-Bread-t1 readrandom   :      11.237 micros/op 88995 ops/sec 22.473 seconds 2000000 operations;    9.8 MB/s (2000000 of 2000000 found)
RESULT G-Aseek-t1 seekrandom   :      66.843 micros/op 14960 ops/sec 33.421 seconds 500000 operations;   16.6 MB/s (408308 of 500000 found)
RESULT S-Bread-t1 readrandom   :      14.209 micros/op 70377 ops/sec 28.418 seconds 2000000 operations;    7.8 MB/s (2000000 of 2000000 found)
RESULT S-Aseek-t1 seekrandom   :      82.081 micros/op 12183 ops/sec 41.041 seconds 500000 operations;   13.5 MB/s (408308 of 500000 found)
RESULT G-Bread-t1 readrandom   :      11.206 micros/op 89235 ops/sec 22.413 seconds 2000000 operations;    9.9 MB/s (2000000 of 2000000 found)
RESULT G-Aseek-t1 seekrandom   :      66.676 micros/op 14997 ops/sec 33.338 seconds 500000 operations;   16.6 MB/s (408308 of 500000 found)
RESULT S-Bread-t1 readrandom   :      14.271 micros/op 70070 ops/sec 28.543 seconds 2000000 operations;    7.8 MB/s (2000000 of 2000000 found)
RESULT S-Aseek-t1 seekrandom   :      81.784 micros/op 12227 ops/sec 40.892 seconds 500000 operations;   13.5 MB/s (408308 of 500000 found)
RESULT G-Bread-t1 readrandom   :      11.091 micros/op 90162 ops/sec 22.182 seconds 2000000 operations;   10.0 MB/s (2000000 of 2000000 found)
RESULT G-Aseek-t1 seekrandom   :      65.970 micros/op 15158 ops/sec 32.985 seconds 500000 operations;   16.8 MB/s (408308 of 500000 found)
