# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 198K of event 'cycles:P'
# Event count (approx.): 949828656483
#
# Overhead  Command       Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ............  ...................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.51%  db_bench      db_bench             [.] rocksdb::BlockIter<rocksdb::IndexValue>::CompareKey(rocksdb::IterKey const&, rocksdb::Slice const&) const
     0.51%  db_bench      db_bench             [.] rocksdb::Block::NewIndexIterator(rocksdb::Comparator const*, unsigned long, rocksdb::IndexBlockIter*, rocksdb::Statistics*, bool, bool, bool, bool, bool, bool, rocksdb::BlockPrefixIndex*, rocksdb::BlockBasedTableOptions::BlockSearchType)
     0.46%  db_bench      db_bench             [.] rocksdb::RandomAccessFileReader::Read(rocksdb::IOOptions const&, unsigned long, unsigned long, rocksdb::Slice*, char*, std::unique_ptr<void, std::function<void (void*)> >*, rocksdb::IODebugContext*) const
     0.44%  db_bench      db_bench             [.] rocksdb::BlockIter<rocksdb::Slice>::FindKeyAfterBinarySeek(rocksdb::Slice const&, unsigned int, bool)
     0.43%  db_bench      db_bench             [.] bool rocksdb::BlockIter<rocksdb::IndexValue>::ParseNextKey<rocksdb::DecodeEntryV4, false>(bool*)
     0.41%  db_bench      db_bench             [.] memcpy@plt
     0.38%  db_bench      db_bench             [.] std::enable_if<(rocksdb::Block_kData::kCacheEntryRole==((rocksdb::CacheEntryRole)13))||(true), rocksdb::Status>::type rocksdb::BlockBasedTable::GetDataBlockFromCache<rocksdb::Block_kData>(rocksdb::Slice const&, rocksdb::FullTypedCacheInterface<rocksdb::Block_kData, rocksdb::BlockCreateContext, rocksdb::Block_kData::kCacheEntryRole, rocksdb::Cache*>, rocksdb::CachableEntry<rocksdb::Block_kData>*, rocksdb::GetContext*, rocksdb::UnownedPtr<rocksdb::Decompressor>) const
     0.38%  db_bench      db_bench             [.] rocksdb::ThreadLocalPtr::StaticMeta::CompareAndSwap(unsigned int, void*, void*&)
     0.37%  db_bench      db_bench             [.] rocksdb::GetContext::SaveValue(rocksdb::ParsedInternalKey const&, rocksdb::Slice const&, bool*, rocksdb::Status*, rocksdb::Cleanable*)
     0.37%  db_bench      db_bench             [.] TLS init function for rocksdb::perf_context
     0.37%  db_bench      db_bench             [.] rocksdb::DataBlockIter* rocksdb::BlockBasedTable::NewDataBlockIterator<rocksdb::DataBlockIter>(rocksdb::ReadOptions const&, rocksdb::BlockHandle const&, rocksdb::DataBlockIter*, rocksdb::BlockType, rocksdb::GetContext*, rocksdb::BlockCacheLookupContext*, rocksdb::FilePrefetchBuffer*, bool, bool, rocksdb::Status&, bool) const
     0.37%  db_bench      libc.so.6            [.] 0x000000000007ef94
     0.36%  db_bench      db_bench             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
     0.36%  db_bench      db_bench             [.] rocksdb::DBImpl::Get(rocksdb::ReadOptions const&, rocksdb::ColumnFamilyHandle*, rocksdb::Slice const&, rocksdb::PinnableSlice*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.35%  db_bench      [kernel.kallsyms]    [k] ext4_file_read_iter
     0.35%  db_bench      db_bench             [.] rocksdb::BinarySearchIndexReader::NewIterator(rocksdb::ReadOptions const&, bool, rocksdb::IndexBlockIter*, rocksdb::GetContext*, rocksdb::BlockCacheLookupContext*)
     0.35%  db_bench      libc.so.6            [.] 0x000000000008de98
     0.34%  db_bench      libc.so.6            [.] 0x000000000008df6c
     0.34%  db_bench      libc.so.6            [.] 0x000000000008df82
     0.34%  db_bench      db_bench             [.] rocksdb::MemTable::Get(rocksdb::LookupKey const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, rocksdb::PinnableWideColumns*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, rocksdb::Status*, rocksdb::MergeContext*, unsigned long*, unsigned long*, rocksdb::ReadOptions const&, bool, rocksdb::ReadCallback*, bool*, bool)
     0.33%  db_bench      db_bench             [.] rocksdb::GetContext::GetContext(rocksdb::Comparator const*, rocksdb::MergeOperator const*, rocksdb::Logger*, rocksdb::Statistics*, rocksdb::GetContext::GetState, rocksdb::Slice const&, rocksdb::PinnableSlice*, rocksdb::PinnableWideColumns*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, bool*, rocksdb::MergeContext*, bool, unsigned long*, rocksdb::SystemClock*, unsigned long*, rocksdb::PinnedIteratorsManager*, rocksdb::ReadCallback*, bool*, unsigned long, rocksdb::BlobFetcher*)
     0.33%  db_bench      [kernel.kallsyms]    [k] apparmor_file_permission
     0.32%  db_bench      db_bench             [.] rocksdb::(anonymous namespace)::BytewiseComparatorImpl::CompareWithoutTimestamp(rocksdb::Slice const&, bool, rocksdb::Slice const&, bool) const
     0.32%  db_bench      db_bench             [.] rocksdb::FileIndexer::GetNextLevelIndex(unsigned long, unsigned long, int, int, int*, int*) const
     0.31%  db_bench      [kernel.kallsyms]    [k] memset
     0.30%  db_bench      db_bench             [.] rocksdb::DataBlockIter::NextImpl()
     0.30%  db_bench      db_bench             [.] rocksdb::ThreadLocalPtr::Instance()
     0.29%  db_bench      [kernel.kallsyms]    [k] fallback_scalar_usercopy_sum_enabled
     0.29%  db_bench      db_bench             [.] rocksdb::Status rocksdb::clock_cache::BaseClockTable::Insert<rocksdb::clock_cache::AutoHyperClockTable>(rocksdb::clock_cache::ClockHandleBasicData const&, rocksdb::clock_cache::AutoHyperClockTable::HandleImpl**, rocksdb::Cache::Priority)
     0.28%  db_bench      [kernel.kallsyms]    [k] vfs_read
     0.27%  db_bench      db_bench             [.] ROCKSDB_XXPH3_64bits
     0.27%  db_bench      libc.so.6            [.] malloc
     0.26%  db_bench      [kernel.kallsyms]    [k] xas_start
     0.24%  db_bench      db_bench             [.] std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::operator()()
     0.24%  db_bench      db_bench             [.] rocksdb::BlockFetcher::BlockFetcher(rocksdb::RandomAccessFileReader*, rocksdb::FilePrefetchBuffer*, rocksdb::Footer const&, rocksdb::ReadOptions const&, rocksdb::BlockHandle const&, rocksdb::BlockContents*, rocksdb::ImmutableOptions const&, bool, bool, rocksdb::BlockType, rocksdb::UnownedPtr<rocksdb::Decompressor>, rocksdb::PersistentCacheOptions const&, rocksdb::MemoryAllocator*, rocksdb::MemoryAllocator*, bool)
     0.22%  db_bench      libc.so.6            [.] 0x0000000000082626
     0.22%  db_bench      db_bench             [.] rocksdb::GetVarint64Ptr(char const*, char const*, unsigned long*)
     0.22%  db_bench      db_bench             [.] rocksdb::Status::Status(rocksdb::Status&&)
     0.22%  db_bench      [kernel.kallsyms]    [k] is_cacheable_safe
     0.22%  db_bench      db_bench             [.] rocksdb::BijectiveHash2x64(unsigned long, unsigned long, unsigned long*, unsigned long*)
     0.22%  db_bench      db_bench             [.] rocksdb::ShardedCache<rocksdb::clock_cache::ClockCacheShard<rocksdb::clock_cache::AutoHyperClockTable> >::Release(rocksdb::Cache::Handle*, bool)
     0.21%  db_bench      db_bench             [.] rocksdb::IndexValue::DecodeFrom(rocksdb::Slice*, bool, rocksdb::BlockHandle const*)
     0.21%  db_bench      [kernel.kallsyms]    [k] __riscv_v_vstate_save
     0.21%  db_bench      db_bench             [.] rocksdb::VerifyBlockChecksum(rocksdb::Footer const&, char const*, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, rocksdb::BlockType)
     0.21%  db_bench      libc.so.6            [.] malloc_usable_size
     0.21%  db_bench      db_bench             [.] rocksdb::DataBlockIter::SeekImpl(rocksdb::Slice const&)
     0.20%  db_bench      [kernel.kallsyms]    [k] touch_atime
     0.20%  db_bench      db_bench             [.] rocksdb::ColumnFamilyHandleImpl::GetComparator() const
     0.20%  db_bench      libc.so.6            [.] 0x0000000000083562
     0.20%  db_bench      libc.so.6            [.] 0x00000000000849e4
     0.20%  db_bench      [kernel.kallsyms]    [k] __rcu_read_unlock
     0.19%  db_bench      db_bench             [.] rocksdb::RandomAccessFileReader::PrepareIOOptions(rocksdb::ReadOptions const&, rocksdb::IOOptions&, rocksdb::IODebugContext*) const
     0.19%  db_bench      [kernel.kallsyms]    [k] filemap_get_pages
     0.19%  db_bench      db_bench             [.] rocksdb::RecordIOStats(rocksdb::Statistics*, rocksdb::Temperature, bool, unsigned long)
     0.18%  db_bench      db_bench             [.] rocksdb::FilterBlockReaderCommon<rocksdb::ParsedFullFilterBlock>::GetOrReadFilterBlock(rocksdb::GetContext*, rocksdb::BlockCacheLookupContext*, rocksdb::CachableEntry<rocksdb::ParsedFullFilterBlock>*, rocksdb::ReadOptions const&) const
     0.18%  db_bench      db_bench             [.] rocksdb::Block::Block(rocksdb::BlockContents&&, unsigned long, rocksdb::Statistics*, unsigned int)
     0.18%  db_bench      db_bench             [.] std::enable_if<(rocksdb::Block_kData::kCacheEntryRole==((rocksdb::CacheEntryRole)13))||(true), rocksdb::Status>::type rocksdb::BlockBasedTable::PutDataBlockToCache<rocksdb::Block_kData>(rocksdb::Slice const&, rocksdb::FullTypedCacheInterface<rocksdb::Block_kData, rocksdb::BlockCreateContext, rocksdb::Block_kData::kCacheEntryRole, rocksdb::Cache*>, rocksdb::CachableEntry<rocksdb::Block_kData>*, rocksdb::BlockContents&&, rocksdb::BlockContents&&, rocksdb::CompressionType, rocksdb::UnownedPtr<rocksdb::Decompressor>, rocksdb::MemoryAllocator*, rocksdb::GetContext*) const
     0.18%  db_bench      [kernel.kallsyms]    [k] copy_page_to_iter
     0.17%  db_bench      db_bench             [.] rocksdb::BlockFetcher::ReadBlockContents()
     0.17%  db_bench      libc.so.6            [.] 0x0000000000083716
     0.17%  db_bench      [kernel.kallsyms]    [k] __fsnotify_parent
     0.17%  db_bench      db_bench             [.] rocksdb::DBImpl::GetImpl(rocksdb::ReadOptions const&, rocksdb::ColumnFamilyHandle*, rocksdb::Slice const&, rocksdb::PinnableSlice*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.16%  db_bench      [kernel.kallsyms]    [k] _copy_to_iter
     0.16%  db_bench      db_bench             [.] rocksdb::Status::Status(rocksdb::Status const&)
     0.16%  db_bench      db_bench             [.] rocksdb::DBImpl::FailIfCfHasTs(rocksdb::ColumnFamilyHandle const*) const [clone .isra.0]
     0.16%  db_bench      [kernel.kallsyms]    [k] kernel_vector_begin
     0.16%  db_bench      libc.so.6            [.] 0x00000000000836f6
     0.15%  db_bench      db_bench             [.] rocksdb::PosixRandomAccessFile::Read(unsigned long, unsigned long, rocksdb::IOOptions const&, rocksdb::Slice*, char*, rocksdb::IODebugContext*) const
     0.15%  db_bench      db_bench             [.] rocksdb::Status::operator=(rocksdb::Status&&) [clone .isra.0]
     0.15%  db_bench      db_bench             [.] rocksdb::IndexBlockIter::DecodeCurrentValue(bool)
     0.15%  db_bench      db_bench             [.] std::enable_if<(rocksdb::Block_kData::kCacheEntryRole==((rocksdb::CacheEntryRole)13))||(true), rocksdb::Status>::type rocksdb::BlockBasedTable::RetrieveBlock<rocksdb::Block_kData>(rocksdb::FilePrefetchBuffer*, rocksdb::ReadOptions const&, rocksdb::BlockHandle const&, rocksdb::UnownedPtr<rocksdb::Decompressor>, rocksdb::CachableEntry<rocksdb::Block_kData>*, rocksdb::GetContext*, rocksdb::BlockCacheLookupContext*, bool, bool, bool, bool) const
     0.15%  db_bench      db_bench             [.] rocksdb::clock_cache::AutoHyperClockTable::DoInsert(rocksdb::clock_cache::ClockHandleBasicData const&, unsigned int, bool, rocksdb::clock_cache::AutoHyperClockTable::InsertState&)
     0.15%  db_bench      libc.so.6            [.] 0x0000000000083fa8
     0.15%  db_bench      db_bench             [.] rocksdb::ColumnFamilyData::ReturnThreadLocalSuperVersion(rocksdb::SuperVersion*)
     0.14%  db_bench      [kernel.kallsyms]    [k] rwsem_spin_on_owner
     0.14%  db_bench      db_bench             [.] TLS init function for rocksdb::iostats_context
     0.14%  db_bench      db_bench             [.] rocksdb::DataBlockIter::~DataBlockIter()
     0.14%  db_bench      db_bench             [.] rocksdb::ShardedCache<rocksdb::clock_cache::ClockCacheShard<rocksdb::clock_cache::AutoHyperClockTable> >::Lookup(rocksdb::Slice const&, rocksdb::Cache::CacheItemHelper const*, rocksdb::Cache::CreateContext*, rocksdb::Cache::Priority, rocksdb::Statistics*)
     0.14%  db_bench      libc.so.6            [.] 0x00000000000836fc
     0.14%  db_bench      db_bench             [.] rocksdb::Status::operator=(rocksdb::Status&&) [clone .isra.0]
     0.14%  db_bench      db_bench             [.] rocksdb::Cleanable::~Cleanable()
     0.14%  db_bench      [kernel.kallsyms]    [k] kernel_vector_end
     0.14%  db_bench      libc.so.6            [.] 0x0000000000084a02
     0.14%  db_bench      [kernel.kallsyms]    [k] __riscv_sys_pread64
     0.13%  db_bench      db_bench             [.] rocksdb::BlockIter<rocksdb::Slice>::UpdateKey()
     0.13%  db_bench      db_bench             [.] rocksdb::Stats::FinishedOps(rocksdb::DBWithColumnFamilies*, rocksdb::DB*, long, rocksdb::OperationType)
     0.13%  db_bench      db_bench             [.] rocksdb::ColumnFamilyHandleImpl::cfd() const
     0.13%  db_bench      libstdc++.so.6.0.35  [.] operator new[](unsigned long)
     0.13%  db_bench      db_bench             [.] rocksdb::StopWatch::~StopWatch()
     0.12%  db_bench      libc.so.6            [.] 0x0000000000083fc6
     0.12%  db_bench      [kernel.kallsyms]    [k] atime_needs_update
     0.12%  db_bench      db_bench             [.] memset@plt
     0.12%  db_bench      db_bench             [.] rocksdb::BlockBasedTable::IndexReaderCommon::GetOrReadIndexBlock(rocksdb::GetContext*, rocksdb::BlockCacheLookupContext*, rocksdb::CachableEntry<rocksdb::Block>*, rocksdb::ReadOptions const&) const
     0.12%  db_bench      [kernel.kallsyms]    [k] __might_resched
     0.12%  db_bench      db_bench             [.] rocksdb::BlockIter<rocksdb::IndexValue>::UpdateKey()
     0.12%  db_bench      db_bench             [.] rocksdb::DBImpl::GetLastPublishedSequence() const
     0.12%  db_bench      db_bench             [.] rocksdb::EncodeVarint32(char*, unsigned int)
     0.12%  db_bench      db_bench             [.] rocksdb::ThreadLocalPtr::StaticMeta::Swap(unsigned int, void*)
     0.11%  db_bench      db_bench             [.] rocksdb::IndexBlockIter::~IndexBlockIter()
     0.11%  db_bench      db_bench             [.] rocksdb::LookupKey::LookupKey(rocksdb::Slice const&, unsigned long, rocksdb::Slice const*)
     0.11%  db_bench      db_bench             [.] rocksdb::BlockIter<rocksdb::IndexValue>::status() const
     0.11%  db_bench      db_bench             [.] std::_Function_base::~_Function_base()
     0.11%  db_bench      db_bench             [.] rocksdb::FilterBlockReaderCommon<rocksdb::ParsedFullFilterBlock>::whole_key_filtering() const
     0.11%  db_bench      libgcc_s.so.1        [.] __bswapdi2
     0.10%  db_bench      db_bench             [.] rocksdb::BlockBasedTable::UpdateCacheHitMetrics(rocksdb::BlockType, rocksdb::GetContext*, unsigned long) const
     0.10%  db_bench      db_bench             [.] rocksdb::MergeContext::~MergeContext()
     0.10%  db_bench      db_bench             [.] rocksdb::MemTableListVersion::GetFromList(std::__cxx11::list<rocksdb::ReadOnlyMemTable*, std::allocator<rocksdb::ReadOnlyMemTable*> >*, rocksdb::LookupKey const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, rocksdb::PinnableWideColumns*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, rocksdb::Status*, rocksdb::MergeContext*, unsigned long*, unsigned long*, rocksdb::ReadOptions const&, rocksdb::ReadCallback*, bool*)
     0.10%  db_bench      db_bench             [.] rocksdb::BlockIter<rocksdb::IndexValue>::Seek(rocksdb::Slice const&)
     0.10%  db_bench      db_bench             [.] rocksdb::BlockFetcher::ProcessTrailerIfPresent()
     0.10%  db_bench      libc.so.6            [.] 0x000000000008dea2
     0.10%  db_bench      db_bench             [.] rocksdb::BlockFetcher::GetBlockContents()
     0.10%  db_bench      [kernel.kallsyms]    [k] aa_file_perm
     0.10%  db_bench      db_bench             [.] rocksdb::CachableEntry<rocksdb::Block>::ReleaseCacheHandle(void*, void*)
     0.10%  db_bench      db_bench             [.] rocksdb::ColumnFamilyData::GetThreadLocalSuperVersion(rocksdb::DBImpl*)
     0.09%  db_bench      db_bench             [.] rocksdb::PerfStepTimer::Stop()
     0.09%  db_bench      libc.so.6            [.] 0x0000000000083fc2
     0.09%  db_bench      db_bench             [.] rocksdb::BlockHandle::DecodeFrom(rocksdb::Slice*)
     0.09%  db_bench      [kernel.kallsyms]    [k] __rcu_read_lock
     0.09%  db_bench      db_bench             [.] rocksdb::(anonymous namespace)::BytewiseComparatorImpl::EqualWithoutTimestamp(rocksdb::Slice const&, rocksdb::Slice const&) const
     0.09%  db_bench      [kernel.kallsyms]    [k] __asm_copy_to_user
     0.09%  db_bench      db_bench             [.] rocksdb::BlockFetcher::~BlockFetcher()
     0.09%  db_bench      db_bench             [.] rocksdb::ParseInternalKey(rocksdb::Slice const&, rocksdb::ParsedInternalKey*, bool) [clone .isra.0]
     0.08%  db_bench      [kernel.kallsyms]    [k] fput
     0.08%  db_bench      db_bench             [.] rocksdb::DBImpl::ReturnAndCleanupSuperVersion(rocksdb::ColumnFamilyData*, rocksdb::SuperVersion*)
     0.08%  db_bench      [kernel.kallsyms]    [k] __xas_next
     0.08%  db_bench      [kernel.kallsyms]    [k] security_file_permission
     0.08%  db_bench      libc.so.6            [.] 0x00000000000849ea
     0.08%  db_bench      db_bench             [.] rocksdb::CachableEntry<rocksdb::DecompressorDict>::ReleaseResource(bool)
     0.08%  db_bench      libstdc++.so.6.0.35  [.] operator new(unsigned long)
     0.07%  db_bench      db_bench             [.] rocksdb::Random::GetTLSInstance()
     0.07%  db_bench      db_bench             [.] __bswapdi2@plt
     0.07%  db_bench      [kernel.kallsyms]    [k] __might_sleep
     0.07%  db_bench      [kernel.kallsyms]    [k] enter_vector_usercopy
     0.07%  db_bench      db_bench             [.] rocksdb::Cleanable::Cleanable()
     0.07%  db_bench      db_bench             [.] rocksdb::ShardedCache<rocksdb::clock_cache::ClockCacheShard<rocksdb::clock_cache::AutoHyperClockTable> >::Insert(rocksdb::Slice const&, void*, rocksdb::Cache::CacheItemHelper const*, unsigned long, rocksdb::Cache::Handle**, rocksdb::Cache::Priority, rocksdb::Slice const&, rocksdb::CompressionType)
     0.07%  db_bench      db_bench             [.] rocksdb::IndexBlockIter::value() const
     0.07%  db_bench      db_bench             [.] rocksdb::BlockIter<rocksdb::IndexValue>::Valid() const
     0.06%  db_bench      db_bench             [.] rocksdb::PosixRandomAccessFile::use_direct_io() const
     0.06%  db_bench      db_bench             [.] rocksdb::FullFilterBlockReader::KeyMayMatch(rocksdb::Slice const&, rocksdb::Slice const*, rocksdb::GetContext*, rocksdb::BlockCacheLookupContext*, rocksdb::ReadOptions const&)
     0.06%  db_bench      db_bench             [.] rocksdb::ShardedCacheBase::GetUsage(rocksdb::Cache::Handle*) const
     0.06%  db_bench      libc.so.6            [.] 0x000000000008dfca
     0.06%  db_bench      db_bench             [.] rocksdb::ThreadLocalPtr::CompareAndSwap(void*, void*&)
     0.06%  db_bench      db_bench             [.] rocksdb::DBImpl::DefaultColumnFamily() const
     0.06%  db_bench      db_bench             [.] rocksdb::DataBlockFooter::DecodeFrom(rocksdb::Slice*)
     0.06%  db_bench      db_bench             [.] rocksdb::clock_cache::BaseClockTable::TrackAndReleaseEvictedEntry(rocksdb::clock_cache::ClockHandle*)
     0.06%  db_bench      [kernel.kallsyms]    [k] __might_fault
     0.06%  db_bench      db_bench             [.] rocksdb::(anonymous namespace)::PosixFileSystem::SupportedOps(long&)
     0.06%  db_bench      libc.so.6            [.] 0x000000000008367a
     0.06%  db_bench      [kernel.kallsyms]    [k] _raw_spin_unlock_irqrestore
     0.06%  db_bench      db_bench             [.] rocksdb::Cleanable::RegisterCleanup(void (*)(void*, void*), void*, void*)
     0.05%  db_bench      db_bench             [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::~_Hashtable()
     0.05%  db_bench      db_bench             [.] operator new[](unsigned long)@plt
     0.05%  db_bench      db_bench             [.] rocksdb::GetContext::appendToReplayLog(rocksdb::ValueType, rocksdb::Slice, rocksdb::Slice)
     0.05%  db_bench      libc.so.6            [.] __libc_pread
     0.05%  db_bench      db_bench             [.] XXH3_mergeAccs
     0.05%  db_bench      libc.so.6            [.] 0x0000000000082642
