# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 172K of event 'cycles:P'
# Event count (approx.): 825463650699
#
# Overhead  Command       Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ............  ...................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.45%  rocksdb:low   db_bench             [.] rocksdb::CompactionJob::ProcessKeyValue(rocksdb::SubcompactionState*, rocksdb::ColumnFamilyData*, rocksdb::CompactionIterator*, std::function<rocksdb::Status (rocksdb::CompactionOutputs&)> const&, std::function<rocksdb::Status (rocksdb::Status const&, rocksdb::ParsedInternalKey const&, rocksdb::Slice const&, rocksdb::CompactionIterator const*, rocksdb::CompactionOutputs&)> const&, unsigned long&)
     0.45%  rocksdb:low   db_bench             [.] rocksdb::BlockBuilder::EstimateSizeAfterKV(rocksdb::Slice const&, rocksdb::Slice const&) const
     0.45%  db_bench      db_bench             [.] rocksdb::crc32c::Crc32cCombine(unsigned int, unsigned int, unsigned long)
     0.45%  rocksdb:low   db_bench             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace(unsigned long, unsigned long, char const*, unsigned long)
     0.42%  db_bench      libc.so.6            [.] 0x000000000008df6c
     0.42%  rocksdb:high  db_bench             [.] rocksdb::CompactionIterator::NextFromInput()
     0.40%  db_bench      db_bench             [.] rocksdb::Status rocksdb::(anonymous namespace)::MemTableInserter::PutCFImpl<rocksdb::(anonymous namespace)::MemTableInserter::PutCF(unsigned int, rocksdb::Slice const&, rocksdb::Slice const&)::{lambda(rocksdb::WriteBatch*, unsigned int, rocksdb::Slice const&, rocksdb::Slice const&)#1}>(unsigned int, rocksdb::Slice const&, rocksdb::Slice const&, rocksdb::ValueType, rocksdb::(anonymous namespace)::MemTableInserter::PutCF(unsigned int, rocksdb::Slice const&, rocksdb::Slice const&)::{lambda(rocksdb::WriteBatch*, unsigned int, rocksdb::Slice const&, rocksdb::Slice const&)#1}, rocksdb::ProtectionInfoKVOS<unsigned long> const*) [clone .constprop.0]
     0.39%  db_bench      db_bench             [.] rocksdb::WriteBatchInternal::Iterate(rocksdb::WriteBatch const*, rocksdb::WriteBatch::Handler*, unsigned long, unsigned long)
     0.39%  db_bench      [kernel.kallsyms]    [k] apparmor_file_permission
     0.39%  rocksdb:low   db_bench             [.] rocksdb::CompactionMergingIterator::Next()
     0.37%  rocksdb:low   db_bench             [.] rocksdb::NotifyCollectTableCollectorsOnAdd(rocksdb::Slice const&, rocksdb::Slice const&, unsigned long, std::vector<std::unique_ptr<rocksdb::InternalTblPropColl, std::default_delete<rocksdb::InternalTblPropColl> >, std::allocator<std::unique_ptr<rocksdb::InternalTblPropColl, std::default_delete<rocksdb::InternalTblPropColl> > > > const&, rocksdb::Logger*)
     0.36%  rocksdb:high  libc.so.6            [.] 0x000000000008df6c
     0.36%  db_bench      db_bench             [.] rocksdb::WritableFileWriter::FinalizeIOOptions(rocksdb::IOOptions const&) const
     0.35%  db_bench      db_bench             [.] rocksdb::DBImpl::WriteImpl(rocksdb::WriteOptions const&, rocksdb::WriteBatch*, rocksdb::WriteCallback*, rocksdb::UserWriteCallback*, unsigned long*, unsigned long, bool, unsigned long*, unsigned long, rocksdb::PreReleaseCallback*, rocksdb::PostMemTableCallback*, std::shared_ptr<rocksdb::WriteBatchWithIndex>)
     0.35%  db_bench      [kernel.kallsyms]    [k] ext4_block_write_begin
     0.35%  rocksdb:low   db_bench             [.] rocksdb::FileMetaData::UpdateBoundaries(rocksdb::Slice const&, rocksdb::Slice const&, unsigned long, rocksdb::ValueType)
     0.35%  rocksdb:low   db_bench             [.] non-virtual thunk to rocksdb::(anonymous namespace)::BytewiseComparatorImpl::Compare(rocksdb::Slice const&, rocksdb::Slice const&) const
     0.35%  db_bench      [kernel.kallsyms]    [k] copy_folio_from_iter_atomic
     0.33%  rocksdb:low   db_bench             [.] rocksdb::CompactionIterator::Next()
     0.33%  db_bench      db_bench             [.] rocksdb::DBImpl::WriteGroupToWAL(rocksdb::WriteThread::WriteGroup const&, rocksdb::log::Writer*, unsigned long*, bool, bool, unsigned long, rocksdb::DBImpl::WalFileNumberSize&)
     0.33%  db_bench      db_bench             [.] rocksdb::VersionEdit::~VersionEdit()
     0.32%  db_bench      [kernel.kallsyms]    [k] __might_resched
     0.32%  db_bench      [kernel.kallsyms]    [k] fdget_pos
     0.32%  rocksdb:low   db_bench             [.] rocksdb::(anonymous namespace)::XXPH3FilterBitsBuilder::AddKey(rocksdb::Slice const&)
     0.32%  rocksdb:low   db_bench             [.] rocksdb::CompactionMergingIterator::FindNextVisibleKey()
     0.31%  rocksdb:low   db_bench             [.] rocksdb::(anonymous namespace)::FastLocalBloomBitsBuilder::Finish(std::unique_ptr<char const [], std::default_delete<char const []> >*, rocksdb::Status*)
     0.31%  rocksdb:low   db_bench             [.] rocksdb::BlockBasedTableIterator::NextAndGetResult(rocksdb::IterateResult*)
     0.30%  db_bench      [kernel.kallsyms]    [k] fallback_scalar_usercopy_sum_enabled
     0.29%  db_bench      db_bench             [.] rocksdb::PutLengthPrefixedSlice(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, rocksdb::Slice const&)
     0.29%  rocksdb:low   db_bench             [.] rocksdb::FlushBlockBySizePolicy::Update(rocksdb::Slice const&, rocksdb::Slice const&)
     0.29%  rocksdb:high  db_bench             [.] rocksdb::BlockBuilder::AddWithLastKeyImpl(rocksdb::Slice const&, rocksdb::Slice const&, rocksdb::Slice const&, rocksdb::Slice const*, bool, unsigned long)
     0.29%  rocksdb:low   db_bench             [.] rocksdb::ParseInternalKey(rocksdb::Slice const&, rocksdb::ParsedInternalKey*, bool) [clone .isra.0]
     0.28%  rocksdb:high  db_bench             [.] memcpy@plt
     0.28%  rocksdb:low   db_bench             [.] rocksdb::(anonymous namespace)::LevelIterator::NextAndGetResult(rocksdb::IterateResult*)
     0.28%  db_bench      [kernel.kallsyms]    [k] __rcu_read_unlock
     0.27%  rocksdb:high  libc.so.6            [.] memcmp
