RESULT o3lto-Bread readrandom   :      13.920 micros/op 447059 ops/sec 35.789 seconds 16000000 operations;   33.5 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      13.971 micros/op 438438 ops/sec 36.493 seconds 16000000 operations;   32.9 MB/s (2000000 of 2000000 found)
RESULT o3lto-Aseek seekrandom   :      98.554 micros/op 78939 ops/sec 50.672 seconds 4000000 operations;   87.3 MB/s (408308 of 500000 found)
RESULT base-Aseek seekrandom   :     101.140 micros/op 76912 ops/sec 52.007 seconds 4000000 operations;   85.1 MB/s (408308 of 500000 found)
RESULT base-Bread readrandom   :      19.058 micros/op 339651 ops/sec 47.107 seconds 16000000 operations;   25.5 MB/s (2000000 of 2000000 found)
RESULT o3lto-Bread readrandom   :      17.812 micros/op 361345 ops/sec 44.279 seconds 16000000 operations;   27.1 MB/s (2000000 of 2000000 found)
RESULT base-Aseek seekrandom   :      99.737 micros/op 79176 ops/sec 50.520 seconds 4000000 operations;   87.6 MB/s (408308 of 500000 found)
RESULT o3lto-Aseek seekrandom   :     137.357 micros/op 57032 ops/sec 70.136 seconds 4000000 operations;   63.1 MB/s (408308 of 500000 found)
RESULT o3lto-Bread readrandom   :      15.066 micros/op 414405 ops/sec 38.610 seconds 16000000 operations;   31.1 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      14.960 micros/op 412514 ops/sec 38.787 seconds 16000000 operations;   30.9 MB/s (2000000 of 2000000 found)
RESULT o3lto-Aseek seekrandom   :      88.619 micros/op 87182 ops/sec 45.881 seconds 4000000 operations;   96.4 MB/s (408308 of 500000 found)
RESULT base-Aseek seekrandom   :      88.333 micros/op 88639 ops/sec 45.127 seconds 4000000 operations;   98.1 MB/s (408308 of 500000 found)
RESULT base-Bread readrandom   :      12.394 micros/op 481447 ops/sec 33.233 seconds 16000000 operations;   36.1 MB/s (2000000 of 2000000 found)
RESULT o3lto-Bread readrandom   :      12.035 micros/op 498004 ops/sec 32.128 seconds 16000000 operations;   37.4 MB/s (2000000 of 2000000 found)
RESULT base-Aseek seekrandom   :      88.147 micros/op 89776 ops/sec 44.555 seconds 4000000 operations;   99.3 MB/s (408308 of 500000 found)
RESULT o3lto-Aseek seekrandom   :     103.105 micros/op 76181 ops/sec 52.506 seconds 4000000 operations;   84.3 MB/s (408308 of 500000 found)
RESULT o3lto-Bread readrandom   :      17.069 micros/op 368802 ops/sec 43.384 seconds 16000000 operations;   27.7 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      12.464 micros/op 479384 ops/sec 33.376 seconds 16000000 operations;   36.0 MB/s (2000000 of 2000000 found)
RESULT o3lto-Aseek seekrandom   :      85.962 micros/op 92384 ops/sec 43.298 seconds 4000000 operations;  102.2 MB/s (408308 of 500000 found)
RESULT base-Aseek seekrandom   :      88.577 micros/op 88988 ops/sec 44.950 seconds 4000000 operations;   98.4 MB/s (408308 of 500000 found)
RESULT W fillrandom   :      11.524 micros/op 86772 ops/sec 230.488 seconds 20000000 operations;    9.6 MB/s
RESULT W fillrandom   :      12.410 micros/op 80578 ops/sec 248.205 seconds 20000000 operations;    8.9 MB/s
RESULT base-fill fillrandom   :      12.450 micros/op 80319 ops/sec 249.006 seconds 20000000 operations;    8.9 MB/s
RESULT o3lto-fill fillrandom   :      12.454 micros/op 80294 ops/sec 249.083 seconds 20000000 operations;    8.9 MB/s
RESULT o3lto-fill fillrandom   :      12.599 micros/op 79368 ops/sec 251.988 seconds 20000000 operations;    8.8 MB/s
RESULT base-fill fillrandom   :      12.458 micros/op 80267 ops/sec 249.167 seconds 20000000 operations;    8.9 MB/s
RESULT base-fill fillrandom   :      13.317 micros/op 75093 ops/sec 266.336 seconds 20000000 operations;    8.3 MB/s
RESULT o3lto-fill fillrandom   :      12.667 micros/op 78943 ops/sec 253.346 seconds 20000000 operations;    8.7 MB/s
RESULT o3lto-fill fillrandom   :      12.092 micros/op 82696 ops/sec 241.848 seconds 20000000 operations;    9.1 MB/s
RESULT base-fill fillrandom   :      13.530 micros/op 73908 ops/sec 270.606 seconds 20000000 operations;    8.2 MB/s
RESULT base-fill fillrandom   :      13.968 micros/op 71592 ops/sec 279.359 seconds 20000000 operations;    7.9 MB/s
RESULT o3lto-fill fillrandom   :      12.601 micros/op 79359 ops/sec 252.017 seconds 20000000 operations;    8.8 MB/s
RESULT o3lto-fill fillrandom   :      12.785 micros/op 78219 ops/sec 255.690 seconds 20000000 operations;    8.7 MB/s
RESULT base-fill fillrandom   :      13.440 micros/op 74402 ops/sec 268.810 seconds 20000000 operations;    8.2 MB/s
RESULT W readrandom   :      10.522 micros/op 573905 ops/sec 27.879 seconds 16000000 operations;   43.0 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      12.339 micros/op 483004 ops/sec 33.126 seconds 16000000 operations;   36.2 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      12.293 micros/op 482181 ops/sec 33.183 seconds 16000000 operations;   36.2 MB/s (2000000 of 2000000 found)
RESULT pgo-Bread readrandom   :      10.614 micros/op 567566 ops/sec 28.191 seconds 16000000 operations;   42.6 MB/s (2000000 of 2000000 found)
RESULT base-Aseek seekrandom   :      85.863 micros/op 92794 ops/sec 43.106 seconds 4000000 operations;  102.7 MB/s (408308 of 500000 found)
RESULT pgo-Aseek seekrandom   :      73.885 micros/op 106960 ops/sec 37.397 seconds 4000000 operations;  118.3 MB/s (408308 of 500000 found)
